,Glottocode,label_,outlier_prob,cluster_prob
699,tiko1237,12,0.0,1.0
700,tiko1237a,12,0.0,1.0
701,tiri1258,13,0.0,1.0
702,tivv1240,10,0.0,1.0
703,tlin1245,6,0.0,1.0
704,toab1237,1,0.0,1.0
705,toba1269,2,0.0,1.0
706,toca1235,7,0.0,1.0
707,toda1252,2,0.0,1.0
708,toke1240,11,0.0,1.0
709,toke1240a,11,0.0,1.0
710,tokh1242,4,0.0,1.0
711,tokh1243,4,0.0,1.0
712,tokp1240,12,0.0,1.0
713,tola1247,10,0.0,1.0
714,tolo1259,2,0.0,1.0
715,toma1248,10,0.0,1.0
716,tomb1243,2,0.0,1.0
717,tomi1243,10,0.0,1.0
718,tong1325,8,0.0,1.0
719,tons1240,2,0.0,1.0
720,toor1238,12,0.0,1.0
721,tore1237,10,0.0,1.0
722,torr1261,4,0.0,1.0
723,tosk1239,5,0.0,1.0
724,toto1304,10,0.0,1.0
725,trin1274,10,0.0,1.0
726,trum1247,2,0.0,1.0
727,tsog1243,3,0.0,1.0
728,tson1249,6,0.0,1.0
729,tuam1242,8,0.0,1.0
730,tubu1240,8,0.0,1.0
731,tuca1252,2,0.0,1.0
732,tuka1249,10,0.0,1.0
733,tula1253,10,0.0,1.0
734,tung1290,4,0.0,1.0
735,tupi1274,-1,0.0,0.0
736,turu1249,2,0.0,1.0
737,tusc1257,6,0.0,1.0
738,tuva1244,12,0.0,1.0
739,uabm1237,8,0.0,1.0
740,udmu1245,10,0.0,1.0
741,ulaw1237,1,0.0,1.0
742,umaj1240,2,0.0,1.0
743,umbu1257,-1,0.25,0.0
744,umir1236,6,0.0,1.0
745,umpi1239,1,,0.0
746,unua1237,-1,0.0,0.0
747,uppe1274,6,,0.0
748,urak1238,-1,0.0,0.0
749,urdu1245,2,0.0,1.0
750,utes1238,2,,0.0
751,vaoo1237,13,0.0,1.0
752,vari1239,13,0.0,1.0
753,veps1250,2,0.0,1.0
754,vera1241,13,0.0,1.0
755,vinm1237,8,0.0,1.0
756,vlax1238,4,0.0,1.0
757,vure1239,13,0.0,1.0
758,waga1260,2,0.0,1.0
759,waia1242,10,0.0,1.0
760,wail1244,2,0.0,1.0
761,waim1255,2,0.0,1.0
762,waiw1244,12,0.0,1.0
763,waja1257,2,0.0,1.0
764,wall1255,4,0.0,1.0
765,wall1257,-1,0.0,0.0
766,wamb1258,2,0.0,1.0
767,wang1287,2,0.0,1.0
768,wang1288,6,0.0,1.0
769,wang1290,6,0.0,1.0
770,wang1290a,6,0.0,1.0
771,wang1291,2,0.0,1.0
772,wanm1242,6,0.0,1.0
773,wapi1253,6,0.0,1.0
774,warl1254,6,0.0,1.0
775,warl1254a,2,0.0,1.0
776,warl1255,2,0.0,1.0
777,warr1257,2,0.0,1.0
