Glottocode,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,wFBeD,wFBeS,wFByD,wFByS,wFZeD,wFZeS,wFZyD,wFZyS,wMBeD,wMBeS,wMByD,wMByS,wMZeD,wMZeS,wMZyD,wMZyS
tuyu1244,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃,tẽ'yɨ̃
tzel1254,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan,yantsil-alme'jun,ichan
udmu1245,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig
ukra1253,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén,kuzy'na,kuzén
urdu1245,chachāzādbahin,chachāzādbhā'i,chachāzādbahin,chachāzādbhā'i,phupizādbahin,phupizādbhāi,phupizādbahin,phupizādbhāi,māmūzādbahin,mamerābhāi,māmūzādbahin,mamerābhāi,xālāzādbahin,xālāzādbhāi,xālāzādbahin,xālāzādbhāi,chachāzādbahin,chachāzādbhā'i,chachāzādbahin,chachāzādbhā'i,phupizādbahin,phupizādbhāi,phupizādbahin,phupizādbhāi,māmūzādbahin,mamerābhāi,māmūzādbahin,mamerābhāi,xālāzādbahin,xālāzādbhāi,xālāzādbahin,xālāzādbhāi
utee1244,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany,paciny,papiny,naminy,cahkany
veps1250,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan
vlax1238,[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara],[verisoara]
waiw1244,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno
wall1255,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein,kizeinn,kizein
wang1291,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan
waor1240,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke,bæ̃ke
wapi1253,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban,-iriˀban
warl1254,kapi,kukurnu,kapi,kukurnu,jukana,wankili,jukana,wankili,jukana,wankili,jukana,wankili,murrkardi,murrkardi,murrkardi,murrkardi,kapi,kukurnu,kapi,kukurnu,jukana,wankili,jukana,wankili,jukana,wankili,jukana,wankili,murrkardi,murrkardi,murrkardi,murrkardi
waur1244,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le,-tanu'le
wayu1243,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa,ta-waľa
wels1247,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder,cyfnither,cefnder
west1508,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua
west2369,doxtar-e-amu,pesar-e-amu,doxtar-e-amu,pesar-e-amu,doxtar-e-amme,pesar-e-amme,doxtar-e-amme,pesar-e-amme,doxtar-e-dãi,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,doxtar-e-xãle,pesar-e-xãle,doxtar-e-xãle,pesar-e-xãle,doxtar-e-amu,pesar-e-amu,doxtar-e-amu,pesar-e-amu,doxtar-e-amme,pesar-e-amme,doxtar-e-amme,pesar-e-amme,doxtar-e-dãi,pesar-e-dãi,doxtar-e-dãi,pesar-e-dãi,doxtar-e-xãle,pesar-e-xãle,doxtar-e-xãle,pesar-e-xãle
west2386,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera,masera
west2615,cìlà,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń,cìlà,cìkìsń
wira1262,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin,wunarigayin
wiyo1248,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe
wulg1239,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri,gurri
wuvu1239,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,ʔari,lofu,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari
yaka1269,kisoni,kisoni,kisoni,kisoni,pikanu,tata,pikanu,tata,kisoni,bana,kisoni,bana,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,kisoni,bana,bana,bana,bana,kisoni,pikanu,kisoni,pikanu,kisoni,kisoni,kisoni,kisoni
yaka1272,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,mɔ̀ná,kɔ̀kɔ̀,mɔ̀ná,ndàlà,mɔ̀ná,mɔ̀ná,mɔ̀ná,mɔ̀ná,kádf,kádf,kádf,kádf,kádf,kádf,kádf,kádf,mɔ̀ná,kɔ̀kɔ̀,mɔ̀ná,ndàlà,mɔ̀ná,mɔ̀ná,mɔ̀ná,mɔ̀ná
yala1262,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu,kangu
yama1264,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš,šamakuš
yami1254,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kateysa,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing,kaposing
yavi1244,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima,[prima
yomb1244,papanketo,papankulutu,papanketo,papanleki,papanketo,papankulutu,papanketo,papanleki,mamankulutu,ngwakhazi,mamanleki,ngwakhazi,mamankulutu,ngwakhazi,mamanleki,ngwakhazi,papanketo,papankulutu,papanketo,papanleki,papanketo,papankulutu,papanketo,papanleki,mamankulutu,ngwakhazi,mamanleki,ngwakhazi,mamankulutu,ngwakhazi,mamanleki,ngwakhazi
yugu1249,yerrabool,yerrabool,yerrabool,yerrabool,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yerrabool,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yirpul,yerrabool,yerrabool,yerrabool,yerrabool
yuro1248,neweyits,nepa,neweyits,nepa,neweyits,nepa,neweyits,nepa,neweyits,nepa,neweyits,nepa,neweyits,nepa,neweyits,nepa,nelet,nelai,nelet,nelai,nelet,nelai,nelet,nelai,nelet,nelai,nelet,nelai,nelet,nelai,nelet,nelai
zulu1248,dade,mfo,dade,mfo,mzala,mzala,mzala,mzala,mzala,mzala,mzala,mzala,ukanina,ukanina,ukanina,ukanina,dade,mfo,dade,mfo,mzala,mzala,mzala,mzala,mzala,mzala,mzala,mzala,ukanina,ukanina,ukanina,ukanina
