Glottocode,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,wF,wFeB,wFeZ,wFyB,wFyZ,wM,wMeB,wMeZ,wMyB,wMyZ
giry1241,baba,bam'zhere,tsangazimi,bam'hoho,tsangazimi,hmama,ahu,hmam'zhere,ahu,hmam'hoho,baba,bam'zhere,tsangazimi,bam'hoho,tsangazimi,hmama,ahu,hmam'zhere,ahu,hmam'hoho
guaj1256,tu,tu-na,yahɨ,tu-na,yahɨ,ɨhi,harəwaiya,ɨhi-na,harəwaiya,ɨhi-na,tu,tu-na,harəwaiya,tu-na,harəwaiya,ɨhi,iménə,ɨhi-na,iménə,ɨhi-na
guar1292,yezupar,cheru,yaiche,cheru,yaiche,cheái,mianga,ahi,mianga,ahi,yezupar,cheru,yaiche,cheru,yaiche,chezììr,tutir,chezììr,tutir,chezììr
gugu1255,ngakumatharr,mukakay,mukakay,ngakumatharr,ngulmpurr,ngamu,mukakay,mukakay,mukur,ngamu,ngakumatharr,mukakay,mukakay,ngakumatharr,ngulmpurr,ngamu,mukakay,mukakay,mukur,ngamu
guja1252,pitā,mōṭābāpu,phaī,kākā,phaī,mā,māmā,māsī,māmā,māsī,pitā,mōṭābāpu,phaī,kākā,phaī,mā,māmā,māsī,māmā,māsī
guma1253,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gawal,ngaarnrdi,gawal,ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarnrdi,gawal,ngaarnrdi,gawal,ngaarnrdi
guny1241,yabu,yapu,yapurtu,yapu,yapurtu,yanga,kathiya,yanga,kathiya,yanga,yabu,yapu,yapurtu,yapu,yapurtu,yanga,kathiya,yanga,kathiya,yanga
gupa1247,baapa,baapa,mukul,baapa,mukul,ngaarndi,gawal,ngaarnrdi,muuri\',ngaarnrdi,baapa,baapa,mukul,baapa,mukul,ngaarndi,gawal,ngaarnrdi,muuri\',ngaarnrdi
haaa1252,data,babamkubwa,senge,babamdogo,senge,mama,marume,mamamuto,marume,mamamuto,data,babamkubwa,senge,babamdogo,senge,mama,marume,mamamuto,marume,mamamuto
haus1257,uba,baffa,baba,baffa,baba,uwa,rafani,gwaggo,rafani,gwaggo,uba,baffa,baba,baffa,baba,uwa,rafani,gwaggo,rafani,gwaggo
hawa1245,makuakāne,makuakāne,makuahine,makuakāne,makuahine,makuahine,makuakāne,makuahine,makuakāne,makuahine,makuakāne,makuakāne,makuahine,makuakāne,makuahine,makuahine,makuakāne,makuahine,makuakāne,makuahine
haya1250,tâ:ta,tá:t'ento,tát'énkåzi,tá:t'ento,tát'énkåzi,mâ:we,malûmi,má:'énto,malûmi,má:'énto,tâ:ta,tá:t'ento,tát'énkåzi,tá:t'ento,tát'énkåzi,mâ:we,malûmi,má:'énto,malûmi,má:'énto
hehe1240,dada,dadamuvina,yuvahengemuvina,dadamudodo,yuvahengemudodo,yuva,yayamuvina,yuvamuvina,yayamudodo,yuvamudodo,dada,dadamuvina,yuvahengemuvina,dadamudodo,yuvahengemudodo,yuva,yayamuvina,yuvamuvina,yayamudodo,yuvamudodo
hidd1238,inso,insolwas̄,ensolyas̄,insolwas̄,ensolyas̄,ebel,ebelaɬulwas̄,ebelaɬulyas̄,ebelaɬulwas̄,ebelaɬulyas̄,inso,insolwas̄,ensolyas̄,insolwas̄,ensolyas̄,ebel,ebelaɬulwas̄,ebelaɬulyas̄,ebelaɬulwas̄,ebelaɬulyas̄
hind1269,pitā,tāū,phūphī,cācā,phūphī,mātā,māmā,mausī,māmā,mausī,pitā,tāū,phūphī,cācā,phūphī,mātā,māmā,mausī,māmā,mausī
hinu1240,obu,obusessu,dada,obusessu,dada,iyo,iyosessu,dada,iyosessu,dada,obu,obusessu,dada,obusessu,dada,iyo,iyosessu,dada,iyosessu,dada
homs1234,hayr,horyeɣpayr,horakuyr,horyeɣpayr,horakuyr,mayr,keri,morakuyr,keri,morakuyr,hayr,horyeɣpayr,horakuyr,horyeɣpayr,horakuyr,mayr,keri,morakuyr,keri,morakuyr
hung1274,apa,apainagybáczi,nagynéni,apainagybáczi,nagynéni,anya,anyainagybáczi,nagynéni,anyainagybáczi,nagynéni,apa,apainagybáczi,nagynéni,apainagybáczi,nagynéni,anya,anyainagybáczi,nagynéni,anyainagybáczi,nagynéni
hunz1247,ɑbu,ɑbusɨs,ɑbusɨs,ɑbusɨs,ɑbusɨs,iyu,iyusɨs,iyusɨs,iyusɨs,iyusɨs,ɑbu,ɑbusɨs,ɑbusɨs,ɑbusɨs,ɑbusɨs,iyu,iyusɨs,iyusɨs,iyusɨs,iyusɨs
hupa1239,ta,tai,aditcwu,tai,aditcwu,antcuiñ,is,unkai,is,unkai,ta,tai,aditcwu,tai,aditcwu,antcuiñ,is,unkai,is,unkai
icel1247,fadir,födurbródir,födursystir,födurbródir,födursystir,módir,módurbródir,módursystir,módurbródir,módursystir,fadir,födurbródir,födursystir,födurbródir,födursystir,módir,módurbródir,módursystir,módurbródir,módursystir
ingr1248,tattaisä,tädä,täti,tädä,täti,emä,enoi,täti,enoi,täti,tattaisä,tädä,täti,tädä,täti,emä,enoi,täti,enoi,täti
ingu1240,da,woti,däci,woti,däci,nana,woti,näci,woti,näci,da,woti,däci,woti,däci,nana,woti,näci,woti,näci
inxo1238,obu,obudusxunduis,obudusaquis,obudusxunduis,obudusaquis,išu,išedisxunduis,išedisaquis,išedisxunduis,išedisaquis,obu,obudusxunduis,obudusaquis,obudusxunduis,obudusaquis,išu,išedisxunduis,išedisaquis,išedisxunduis,išedisaquis
iris1253,athair,dearbrāthairathar,deirbhshiūrathar,dearbrāthairathar,deirbhshiūrathar,mathair,dearbrāthairmāthar,deirbhsiurmāthir,dearbrāthairmāthar,deirbhsiurmāthir,athair,dearbrāthairathar,deirbhshiūrathar,dearbrāthairathar,deirbhshiūrathar,mathair,dearbrāthairmāthar,deirbhsiurmāthir,dearbrāthairmāthar,deirbhsiurmāthir
ital1282,padre,zio,zia,zio,zia,madre,zio,zia,zio,zia,padre,zio,zia,zio,zia,madre,zio,zia,zio,zia
itsa1239,t̄at̄i,ac̄i,azay,ac̄i,azay,waba,ac̄i,azay,ac̄i,azay,t̄at̄i,ac̄i,azay,ac̄i,azay,waba,ac̄i,azay,ac̄i,azay
jama1262,fāda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,māda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,fāda,ɔŋkl,āntɩ,ɔŋkl,āntɩ,māda,ɔŋkl,āntɩ,ɔŋkl,āntɩ
jaru1254,ngawi,ngawiyi,mukul,ngawiyi,mukul,ngama,ngamirni,ngama,ngamirni,ngama,ngawi,ngawiyi,mukul,ngawiyi,mukul,ngama,ngamirni,ngama,ngamirni,ngama
jica1244,cìkà'éˑ',cìdédjé,cìdédjé,cìdédjé,cìdédjé,cì'níˑ',сìdà'áˑ',cì'níˑ',сìdà'áˑ',cì'níˑ',cìkà'éˑ',cìdédjé,cìdédjé,cìdédjé,cìdédjé,cì'níˑ',сìdà'áˑ',cì'níˑ',сìdà'áˑ',cì'níˑ'
