"Glottocode","meB","meZ","mFBD","mFBeD","mFBeS","mFBS","mFByD","mFByS","mFeBD","mFeBS","mFeZD","mFeZS","mFyBD","mFyBS","mFyZD","mFyZS","mFZD","mFZeD","mFZeS","mFZS","mFZyD","mFZyS","mMBD","mMBeD","mMBeS","mMBS","mMByD","mMByS","mMeBD","mMeBS","mMeZD","mMeZS","mMyBD","mMyBS","mMyZD","mMyZS","mMZD","mMZeD","mMZeS","mMZS","mMZyD","mMZyS","myB","myZ","weB","weZ","wFBD","wFBeD","wFBeS","wFBS","wFByD","wFByS","wFeBD","wFeBS","wFeZD","wFeZS","wFyBD","wFyBS","wFyZD","wFyZS","wFZD","wFZeD","wFZeS","wFZS","wFZyD","wFZyS","wMBD","wMBeD","wMBeS","wMBS","wMByD","wMByS","wMeBD","wMeBS","wMeZD","wMeZS","wMyBD","wMyBS","wMyZD","wMyZS","wMZD","wMZeD","wMZeS","wMZS","wMZyD","wMZyS","wyB","wyZ"
sard1257,frade,sorre,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,frade,sorre,frade,sorre,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,fradile,sorrasta,sorrasta,fradile,fradile,sorrasta,fradile,frade,sorre
sate1242,bruur,suster,nichte,nichte,fädder,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,bruur,suster,bruur,suster,nichte,nichte,fädder,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,fädder,nichte,nichte,fädder,fädder,nichte,fädder,bruur,suster
serb1264,brat,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,sestra,brat,sestra,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjak,rodjakinja,rodjakinja,rodjak,rodjak,rodjakinja,rodjak,brat,sestra
shin1265,šu,riši,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,kʼaʔdɨ šu,kʼaʔdɨ riši,šu,riši,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,xɨdiymar,kʼaʔdɨ šu,kʼaʔdɨ riši
ship1254,jóchi,chípi,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,chío,chío,jóchi,chípi,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,jóncho,ráncho,ráncho,jóncho,jóncho,ráncho,jóncho,chío,chío
sind1272,dādo,dādī,sauṭi,sauṭi,sauṭo,sauṭo,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭī,puphāṭu,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭi,māroṭu,māroṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māroṭi,māroṭu,māsāti,masātu,māsāti,māsāti,masātu,masātu,māsāti,masātu,bhāu,bheṇu,dādo,dādī,sauṭi,sauṭi,sauṭo,sauṭo,sauṭi,sauṭo,sauṭi,sauṭo,puphāṭī,puphāṭu,sauṭi,sauṭo,puphāṭī,puphāṭu,puphāṭī,puphāṭī,puphāṭu,puphāṭu,puphāṭī,puphāṭu,māroṭi,māroṭi,māroṭu,māroṭu,māroṭi,māroṭu,māroṭi,māroṭu,māsāti,masātu,māroṭi,māroṭu,māsāti,masātu,māsāti,māsāti,masātu,masātu,māsāti,masātu,bhāu,bheṇu
slov1268,brȁt,séstra,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brȁt,séstra,brȁt,séstra,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,brátranəc,sestrîčna,sestrîčna,brátranəc,brátranəc,sestrîčna,brátranəc,brȁt,séstra
slov1269,brat,sestra,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,brat,sestra,brat,sestra,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,brat,sestra
soga1242,muganda omukulu,mwanhina omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,muganda,mwanhina,mwanhina omukulu,muganda omukulu,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,luganda,mwanhina,muganda
song1299,yéy,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lék,yéy,yéy,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,mótil,lék,lék
sout1528,brat,sestra,stričevična,stričevična,bratić,bratić,stričevična,bratić,stričevična,bratić,tetična,tetić,stričevična,bratić,tetična,tetić,tetična,tetična,tetić,tetić,tetična,tetić,ujčična,ujčična,ujčević,ujčević,ujčična,ujčević,ujčična,ujčević,tetična,tetić,ujčična,ujčević,tetična,tetić,tetična,tetična,tetić,tetić,tetična,tetić,brat,sestra,brat,sestra,stričevična,stričevična,bratić,bratić,stričevična,bratić,stričevična,bratić,tetična,tetić,stričevična,bratić,tetična,tetić,tetična,tetična,tetić,tetić,tetična,tetić,ujčična,ujčična,ujčević,ujčević,ujčična,ujčević,ujčična,ujčević,tetična,tetić,ujčična,ujčević,tetična,tetić,tetična,tetična,tetić,tetić,tetična,tetić,brat,sestra
sout2959,gundee,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sedéa,gundee,sembade,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sóot’į,sechílé,sedéa
sout2976,xiix,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,mia'n jaduuñ,jaduuñ,jaduuñ,mia'n jaduuñ,mia'n jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,xiix,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ
stan1288,hermano mayor,hermana mayor,prima,prima,primo,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,prima,primo,primo,prima,primo,prima,prima,primo,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,prima,primo,primo,prima,primo,hermano menor,hermana menor,hermano mayor,hermana mayor,prima,prima,primo,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,prima,primo,primo,prima,primo,prima,prima,primo,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,prima,primo,primo,prima,primo,hermano menor,hermana menor
stan1289,germà,germana,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,germà,germana,germà,germana,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosí,cosina,cosina,cosí,cosí,cosina,cosí,germà,germana
stan1290,ainé,ainée,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,frère,soeur,ainé,ainée,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousin,cousine,cousine,cousin,cousin,cousine,cousin,frère,soeur
stan1293,brother,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,sister,brother,sister,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,cousin,brother,sister
stan1295,Bruder,Schwester,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Bruder,Schwester,Bruder,Schwester,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousin,Cousine,Cousine,Cousin,Cousin,Cousine,Cousin,Bruder,Schwester
suku1259,yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,mpangi nkento,yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,múkomba
swed1254,broder,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,yngre syster,broder,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,yngre syster
tana1285,rahalahy,anakavy,anakavy,anakavy,rahalahy,rahalahy,anakavy,rahalahy,anakavy,rahalahy,anakavy,anjaravady,anakavy,rahalahy,anakavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anakavy,rahalahy,anjaravady,anjaravady,anakavy,rahalahy,anakavy,anakavy,rahalahy,rahalahy,anakavy,rahalahy,rahalahy,anakavy,analahy,rahavavy,rahavavy,rahavavy,analahy,analahy,rahavavy,analahy,rahavavy,analahy,rahavavy,anjaravady,rahavavy,analahy,rahavavy,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,anjaravady,rahavavy,analahy,anjaravady,anjaravady,rahavavy,analahy,rahavavy,rahavavy,analahy,analahy,rahavavy,analahy,analahy,rahavavy
tehu1242,gō,gō,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,gō,gō,gō,gō,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,heʔw,gō,gō
telu1262,sōdaruḍu,sōdari,sōdari,sōdari,sōdaruḍu,sōdaruḍu,sōdari,sōdaruḍu,sōdari,sōdaruḍu,vodine,bāmmardi,sōdari,sōdaruḍu,vodine,bāmmardi,vodine,vodine,bāmmardi,bāmmardi,vodine,bāmmardi,vodine,vodine,bāmmardi,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,sōdari,sōdaruḍu,vodine,bāmmardi,sōdari,sōdaruḍu,sōdari,sōdari,sōdaruḍu,sōdaruḍu,sōdari,sōdaruḍu,tammuDu,cellelu,sōdaruḍu,sōdari,sōdari,sōdari,sōdaruḍu,sōdaruḍu,sōdari,sōdaruḍu,sōdari,sōdaruḍu,vodine,bāmmardi,sōdari,sōdaruḍu,vodine,bāmmardi,vodine,vodine,bāmmardi,bāmmardi,vodine,bāmmardi,vodine,vodine,bāmmardi,bāmmardi,vodine,bāmmardi,vodine,bāmmardi,sōdari,sōdaruḍu,vodine,bāmmardi,sōdari,sōdaruḍu,sōdari,sōdari,sōdaruḍu,sōdaruḍu,sōdari,sōdaruḍu,tammuDu,cellelu
tenh1241,-reky'yra-,-rendyr-,-rendyr-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,-rendyr-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rey'reta-,-rendyr-,-reky'yra-,-rendyr-,-rendyr-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,-reky'yra-,-reky'yra-,jajivembyr-,-rey'reta-,-rey'reta-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,jajivembyr-,jajivembyr-,-rendyr-,nirun-,-rendyr-,-reky'yra-,-reky'yra-,nirun-,-rey'reta-,-rey'reta-,-rey'reta-,-rendyr-
tiko1237,taina,kave,kave,taina,taina,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,kave,taina,taina,kave,taina,taina,kave,kave,taina,taina,kave,kave,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,kave,taina,taina,kave,kave,taina,kave,kave,taina
tivv1240,wangban u vesen,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban u kiriki,wangban u vesen,wangban u vesen,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wanngo,wangban u kiriki,wangban u kiriki
toba1269,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-ḳaya,l-anoḳ,l-anoʔo
tong1325,ta'okete,tuofefine,tuofefine,tuofefine,ta'okete,tokoua,tuofefine,tehina,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tuofefine,ta'okete,tokoua,tuofefine,tehina,tuofefine,tuofefine,ta'okete,tokoua,tuofefine,tehina,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tokoua,tuofefine,tuofefine,ta'okete,tokoua,tuofefine,tehina,tehina,tuofefine,tuonga'ane,ta'okete,tokoua,ta'okete,tuonga'ane,tuonga'ane,tehina,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,ta'okete,tuonga'ane,tuonga'ane,tehina,tuonga'ane,tokoua,ta'okete,tuonga'ane,tuonga'ane,tehina,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,tuonga'ane,tokoua,ta'okete,tuonga'ane,tuonga'ane,tehina,tuonga'ane,tuonga'ane,tehina
toor1238,mugenzi,munyanya,mwenekati,mwenekati,mwene,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwenekati,mwene,mwene,mwenekati,mwene,nyinento,nyinento,nyinarumi,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinento,nyinarumi,nyinarumi,nyinento,nyinarumi,mugenzi,munyanya,munyanya,mugenzi,mwenekati,mwenekati,mwene,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwene,mwenekati,mwenekati,mwene,mwene,mwenekati,mwene,nyinento,nyinento,nyinarumi,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinarumi,nyinento,nyinento,nyinarumi,nyinarumi,nyinento,nyinarumi,munyanya,mugenzi
