feB,feZ,fFBeD,fFBeS,fFByD,fFByS,fFZeD,fFZeS,fFZyD,fFZyS,fMBeD,fMBeS,fMByD,fMByS,fMZeD,fMZeS,fMZyD,fMZyS,fyB,fyZ,meB,meZ,mFBeD,mFBeS,mFByD,mFByS,mFZeD,mFZeS,mFZyD,mFZyS,mMBeD,mMBeS,mMByD,mMByS,mMZeD,mMZeS,mMZyD,mMZyS,myB,myZ,Glottocode
k:mo-ungky-ee,k:e-mǎ´,k:e-ma,k:e-ko,k:hwee-mǎ,k:ny-ee-twa,k:e-maʼ,k:e-ko-tau,k:hne-nǎ,k:ny-ee-tau,k:e-mǎ,k:e-ko´,k:ny-ee-nǎ,k:ny-ee´,k:e-mǎ´,k:e-ko,k:my-ee-mǎ´,k:ny-ee,k:mo-ungga-ta´,k:ny-ee-mǎ,k:e-ko,k:e-mǎ´,k:e-ma,k:e-ko,k:hwee-mǎ,k:ny-ee-twa,k:e-maʼ,k:e-ko-tau,k:hne-nǎ,k:ny-ee-tau,k:e-mǎ,k:e-ko´,k:ny-ee-nǎ,k:ny-ee´,k:e-mǎ´,k:e-ko,k:my-ee-mǎ´,k:ny-ee,k:ny-eé,k:hnee-mǎ,burm1266
ngol'émi,pengi,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,ngol'émi,pengi,ngol'émi,pengi,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,genge,baba,ngol'émi,pengi,bush1247
'aka,'aka,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'wadi,'wadi,'aka,'aka,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'pensan,'wadi,'wadi,casi1235
kuh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,ka-gǎʼ-ah,ha-gǎʼ-ah,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,uh-jeʼ-ah,kuh-jeʼ-ah,ka-gǎʼ-ah,ha-gǎʼ-ah,ha-gǎʼ-ah,ka-gǎʼ-ah,kuh-jeʼ-ah,uh-jeʼ-ah,uh-jeʼ-ah,kuh-jeʼ-ah,ka-gǎʼ-ah,ha-gǎʼ-ah,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,ah-ge-ahʼ-seh,uh-jeʼ-ah,kuh-jeʼ-ah,ka-gǎʼ-ah,ha-gǎʼ-ah,ha-gǎʼ-ah,ka-gǎʼ-ah,cayu1261
súunig-,súunig-,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,manghud,manghud,súunig-,súunig-,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,igtagsa,manghud,manghud,cebu1242
bra,khusk,amoaza,amoaza,amoaza,amoaza,purza,purza,purza,purza,khaloaza,khaloaza,khaloaza,khaloaza,purza,purza,purza,purza,bra,khusk,bra,khusk,amoaza,amoaza,amoaza,amoaza,purza,purza,purza,purza,khaloaza,khaloaza,khaloaza,khaloaza,purza,purza,purza,purza,bra,khusk,cent1972
kalakyán,kaka-,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kalakyán,wagi,kaka-,kábayán,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,kasinsin,wagi,kábayán,cent2084
siyaka,siyaka,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,siyali,siyali,siyaka,siyaka,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,kaki,siyali,siyali,cent2092
tadeilai,janekmahautadei,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,tadeilai,janekmahautadei,tikalai,janekmahautika,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,jipo,tikalai,janekmahautika,cent2101
xila,kulʸaka,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,sulʸkirixila,sulʸkirikulʸaka,xila,kulʸaka,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,xilata,sulʸkirixila,sulʸkirikulʸaka,cent2142
chêlo,chêla,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,chêlo,chêla,chêlo,chêla,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,chêlo,chêla,cham1312
hermanomanung,hermanamanang,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,hermano,hermana,hermanomanung,hermanamanang,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,prima,primo,hermano,hermana,chav1241
ḡregagna,tigagna,tigagna,ḡregagna,tahigna,ḡregagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,tigagna,ḡregagna,tahigna,ḡregagna,ḡregagna,tahigna,tigagna,ḡregagna,ḡregagna,tigagna,ḡregagna,tahigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,tigagna,ḡregagna,tahigna,tahigna,ḡregagna,chek1238
ʔa.pu,ʔa.nya,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,həw,həw.dyaŋ,ʔa.pu,ʔa.nya,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,puʔ,puʔ,həw,həw,həw,həw.dyaŋ,chep1245
un̤-gǐ-dauʼ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-nǐ-lǐ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-dauʼ,e-hlanʼ-gǐ,e-dau-däʼ,e-hlanʼ-gǐ,e-dau-däʼ,a-gwae-tsiʼ,a-gwae-tsǐʼ,a-gwae-tsiʼ,a-gwae-tsǐʼ,un̤-gǐ-lǔn̤ʼ-ǐ,un̤-gǐ-dauʼ,un-gǐ-lun̤ʼ-ǐ,un̤-gǐ-danʼ,un̤-gǐ-dauʼ,un̤-gǐ-lun̤ʼ-ǐ,un̤-gǐ-nǐ-lǐ,un̤-gǐ-dauʼ,un̤-gǐ-dauʼ,un̤-gǐ-nǐ-lǐ,un̤-gǐ-dauʼ,un̤-gǐ-nun̤ʼ-tlǐ,e-hlanʼ-gǐ,e-dau-däʼ,e-hlanʼ-gǐ,e-dau-däʼ,a-gwae-tsiʼ,a-gwae-tsǐʼ,a-gwae-tsiʼ,a-gwae-tsǐʼ,un-gi-dauʼ,un-gǐ-nǐʼ-lǐ,un̤-gǐ-dauʼ,un̤-gǐ-nun̤ʼ-tlě,un̤-gǐ-nun̤ʼ-tlǐ,un̤-gǐ-dauʼ,cher1273
a-näkʼ-fǐ,anʼ-tikʼ-bä,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fi,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,hap-poʼ-sǐ,ang-kǐ,hap-poʼ-sǐ,ang-kǐ,supʼ-pok,supʼ-pok-näkʼ-nǐ,supʼ-pok,supʼ-pok-näkʼ-nǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,et-e-bäʼ-pǐ-shǐ-lǐ,a-näkʼ-fǐ,a-näkʼ-fǐ,sä-näkʼ-fish,au-tikʼ-bä,anʼ-take,anʼ-take,a-näkʼ-fi,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,hap-poʼ-sǐ,ang-kǐ,hap-poʼ-sǐ,ang-kǐ,su-sohʼ-take,suʼ-soh,su-sohʼ-take,suʼ-soh,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,anʼ-take,et-e-bäʼ-pǐ-shǐ-lǐ,sä-näkʼ-fish,anʼ-take,chic1270
sunaghe,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sedézé,sunaghe,sare,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sela,sechÿle,sedézé,chip1261
a-näkʼ-fǐ,um-unʼ-nǐ,um-nuʼ-nǐ,a-näkʼ-fǐ,suh-näkʼ-fish,a-näkʼ-fǐ,up-pucʼ-ne,aʼ-kǐ,up-pukʼ-ne,aʼ-kǐ,suh-suhʼ-take,suhʼ-sǔh,suh-suhʼ-take,suhʼ-sǔh,um-unʼ-nǐ,a-näkʼ-fǐ,suh-näkʼ-fish,a-näkʼ-fǐ,a-nakʼ-fǐ,suh-näkʼ-fish,um-unʼ-nǐ,anʼ-take,anʼ-take,a-näkʼ-fǐ,anʼ-take,suh-näkʼ-fish,a-hucʼ-ne,aʼ-kǐ,a-hucʼ-ne,aʼ-kǐ,suh-suhʼ-take,suhʼ-sǔh,suh-suhʼ-take,suhʼ-sǔh,anʼ-take,um-unʼ-nǐ,anʼ-take,suh-näkʼ-fish,suh-näkʼ-fish,anʼ-take,choc1276
ndumbu,pangi,ndumbu,pangi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,ndumbu,pangi,ndumbu,pangi,pangi,ndumbu,ndumbu,pangi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,ndumbu,pangi,pangi,ndumbu,chok1245
mwongeya-,napa-,napa-,mwongeya-,mwáániinúk,mwongeya-,napa-,mwongeya-,mwáániinúk,mwongeya-,napa-,mwongeya-,mwáániinúk,mwongeya-,napa-,mwongeya-,mwáániinúk,mwongeya-,mwongeya-,mwáániinúk,napa-,feefina-,feefina-,napa-,feefina-,mwáániinúk,feefina-,napa-,feefina-,mwáániinúk,feefina-,napa-,feefina-,mwáániinúk,feefina-,napa-,feefina-,mwáániinúk,mwáániinúk,feefina-,chuu1238
kiwira,paya,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,kiwira,paya,imua,kunia,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,paya,ima,imua,kunia,coca1259
nahˑ-hänsʼ,na-meseʼ,neet-kohˑʼ-kw,n'-dun-oo-yomeʼ,neet-kohˑʼ-kw',n'-dun-oo-yomeʼ,neet-kohˑ-kw',n'-dun-oo-yomeʼ,neet-kohˑʼ-kw',n'-dun-oo-yomeʼ,neet-kohˑ-kw',n'-dun-oo-yomeʼ,neet-kohˑ-kw',n'-dun-oo-yomeʼ,neet-kohˑʼ-kw,n'-dun-oo-yomeʼ,neet-kohˑʼ-kw',n'-dunʼ-oo-yomeʼ,nahˑ-eeseʼ-u-missʼ,nahˑ-eeseʼ-u-missʼ,nahˑ-hänsʼ,na-meseʼ,n'-do-kwä-yomeʼ,n'-dun-oo-yomeʼ,n'-do-kwä-yomeʼ,nee-mäʼ-tus,n'-doh-kwä-yomeʼ,nee-mäʼ-tus,n'-dohˑ-kwä-yomeʼ,nee-mäʼ-tns,n'-doh-kwä-yomeʼ,nee-mäʼ-tus,n'-doh-kwä-yomeʼ,nee-mäʼ-tus,n'-dohˑ-kwä-yomeʼ,nee-mäʼ-tus,n'-dohˑ-kwä-yomeʼ,nee-mäʼ-tus,nahˑ-eeseʼ-u-missʼ,nahˑ-eeseʼ-u-missʼ,comm1246
ani,angayuk,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,aqqaluaq,nukaq,angayuk,aliqa,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,nukaq,nayak,copp1244
maama,kakay,kakay,maama,hadi,maama,kakay,maama,hadi,maama,kakay,maama,hadi,maama,kakay,maama,hadi,maama,maama,hadi,kakay,tebay,tebay,kakay,tebay,hadi,tebay,kakay,tebay,hadi,tebay,kakay,tebay,hadi,tebay,kakay,tebay,hadi,hadi,tebay,cota1241
chu-chihlʼ-wa,chu-hläʼ-hä,chu-hläʼ-hä,chu-chihlʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wä,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,um-os-sǔsʼ-wä,chu-hläʼ-hä,chu-chilʼ-wä,chu-chǔʼ-se,chu-chihlʼ-wä,chu-chihlʼ-wä,chu-chǔʼ-se,chu-hlä-hä,chu-wunʼ-wä,chu-wunʼ-wä,chu-chihlʼ-wä,chu-wunʼ-wä,um-it-te-chäˑkeʼ-to,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chu-pǔʼ-se,chuhlʼ-kǔ-cheʼ,chuch-husʼ-te,chup-pǔʼ-che,chuch-husʼ-te,chup-pǔʼ-che,chu-wunʼ-wä,chu-hläʼ-hä,chu-wunʼ-wä,chu-chǔʼ-se,chu-chǔʼ-se,chu-wunʼ-wä,cree1270
neesh-taseʼ,ne-mishʼ,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,n'-däʼ-koase,neeʼ-ta-moos,n'-jäʼ-koase,neeʼ-ta-moos,n'-däʼ-koase,neeʼ-ta-moos,n'-däʼ-koase,neeʼ-ta-moos,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,neesh-taseʼ,ne-mishʼ,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,neeʼ-ta-moos,neesʼ-chäs,neeʼ-ta-moos,neesʼ-chäs,neeʼ-ta-moos,neest-chäsʼ,neeʼ-ta-moos,neest-chäsʼ,ne-mishʼ,neesh-taseʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,ne-she-mishʼ,cree1272
bä-zäʼ-na,bus-weʼ-nä,bus-weʼ-nä,bä-zäʼ-na,bä-soʼ-ka,bä-chǔʼ-ka,eʼ-ke-ä,ah-hˑaʼ,eʼ-ke-ä,ah-hˑaʼ,näkʼ-me-ä,bot-soʼ-kǎ,näkʼ-me-ä,bot-soʼ-kǎ,bus-weʼ-nä,bä-zäʼ-na,bä-soʼ-ka,bä-chǔʼ-ka,bä-chǔʼ-ka,bä-soʼ-ka,meekʼ-a,bä-zaʼ-kät,bä-zäʼ-kät,bä-zäʼ-na,bä-säʼ-chete,bä-chǔʼ-ka,eʼ-ke-ä,ah-hˑaʼ,eʼ-ke-ä,ah-hˑaʼ,näkʼ-me-ä,bot-soʼ-kǎ,näkʼ-me-ä,bot-soʼ-kǎ,bä-zäʼ-kät,meekʼ-a,bä-säʼ-chete,bä-chǔʼ-ka,bä-chǔʼ-ka,bä-säʼ-chete,crow1244
pana,ñaña.,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,pana,ñaña.,wayqe,pana,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,sispawayqe,wayqe,pana,cusc1236
bratr,sestra,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratr,sestra,bratr,sestra,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratr,sestra,czec1258
te-mdoʼ,me-chun̤ʼ,me-chun̤ʼ,te-mdoʼ,me-tan̤ʼ-kä,me-sun̤ʼ-kä,e-chaʼ-pan̤-she,she-chayʼ-she,e-chaʼ-pän-she,she-chayʼ-she,e-chayʼ-pän-she,she-chayʼ-she,e-chayʼ-pän-she,she-chayʼ-she,me-chun̤ʼ,te-mdoʼ,me-tän̤ʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-tan̤ʼ-kä,chin-yayʼ,tan̤-kayʼ,tän̤-kayʼ,te-mdoʼ,me-tankʼ-she,me-sun̤ʼ-kä,hän̤-käʼ-she,tan̤-hän̤ʼ-she,hän̤-käʼ-she,tan̤-han̤ʼ-she,hän̤-käʼ-she,tan̤-hän̤ʼ-she,hän̤-käʼ-she,tan̤-hän̤ʼ-she,tän̤-kayʼ,chin̤-yayʼ,me-tänkʼ-she,me-sun̤ʼ-kä,me-sun̤ʼ-kä,me-tänkʼ-she,dako1258
sia'a,sia'a,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,tuai,tuai,sia'a,sia'a,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,pontolituaisembiti,tuai,tuai,damp1237
bror,søster,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,lillebror,lillesøster,bror,søster,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,kusine,fætter,lillebror,lillesøster,dani1285
barādar,xāhar,doxtær-æmu,pesær-æmu,doxtær-æmu,pesær-æmu,doxtær-æmme,pesær-æmme,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-dayi,pesær-dayi,doxtær-xale,pesær-xale,doxtær-xale,pesær-xale,barādar,xāhar,barādar,xāhar,doxtær-æmu,pesær-æmu,doxtær-æmu,pesær-æmu,doxtær-æmme,pesær-æmme,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-dayi,pesær-dayi,doxtær-xale,pesær-xale,doxtær-xale,pesær-xale,barādar,xāhar,dari1249
waawa,yapa,yapa,waawa,yapa,gutha',yapa,waawa,yapa,gutha',yapa,waawa,yapa,gyukuyuku,yapa,waawa,yapa,gutha',gutha',yapa,waawa,yapa,yapa,waawa,yapa,gutha',yapa,waawa,yapa,gutha',yapa,waawa,yapa,gutha',yapa,waawa,yapa,gutha',gutha',yapa,dhuw1249
mvyere,mvyere,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mdide,mdide,mvyere,mvyere,mwenenu,mwenenu,mwenenu,mwenenu,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mkpwoi,mwenenu,mwenenu,mwenenu,mwenenu,mdide,mdide,digo1243
ibulintsœm,ijℇ,mukulu,ŋkœm,munkunyi,ŋkœm,mukulu,musonyi,munkunyi,musonyi,mukulu,musonyi,munkunyi,musonyi,mukulu,ŋkœm,ŋkœm,ŋkœm,ŋkurmukje,mukoom,ibulintsœm,ijℇ,ŋkœm,mukulu,ŋkœm,munkunyi,musonyi,mukulu,musonyi,munkunyi,musonyi,mukulu,musonyi,munkunyi,ŋkœm,mukulu,ŋkœm,munkunyi,ŋkurmukje,mukoom,ding1239
baba,bibirni,bibirni,baba,birdirdini,bardarda,ankilirni,ankilirni,ankilirni,ankilirni,ankilirni,ankilirni,ankilirni,ankilirni,bibirni,baba,birdirdini,bardarda,bardarda,birdirdini,baba,bibirni,bibirni,baba,birdirdini,bardarda,ankila,ankila,ankila,ankila,ankila,ankila,ankila,ankila,bibirni,baba,birdirdini,bardarda,bardarda,birdirdini,djin1251
sǔ-näʼ-gä,set-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,sǔ-näʼ-gä,säʼ-re,setʼ-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,sǔ-näʼ-gä,säʼ-re,setʼ-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,su-näʼ-ga,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,säʼ-re,dogr1252
sia'a,sia'a,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,tuai,tuai,sia'a,sia'a,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,sounga,tuai,tuai,dond1249
abeng,abeng,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,wadi,wadi,abeng,abeng,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,kasinsin,kallakyan,wadi,wadi,dupa1235
broer,zus,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,broer,zus,broer,zus,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,nicht,neef,broer,zus,dutc1256
yeɣbayr,kʰuyr,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,kˀrtˀseryeɣbayr,kˀrtˀserkʰuyr,yeɣbayr,kʰuyr,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,zarmikˀ,kˀrtˀseryeɣbayr,kˀrtˀserkʰuyr,east2283
bruder,švester,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,yingererbruder,yingerešvester,bruder,švester,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,švester'kind,yingererbruder,yingerešvester,east2295
tua-nga'ane,taina,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,tua-nga'ane,taina,taina,tua-nga'ane,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,tua-nga'ane,taina,taina,tua-nga'ane,east2447
che-rɨkéɨ,che-rɨ́ke,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨwɨ,pɨkɨ,che-rɨkéɨ,che-rɨ́ke,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨkeɨ,t-ɨwɨ,pɨkɨ,east2555
mei-gi,šutu:me,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,mei-gi,šutu:me,mei-gi,šutu:me,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,iza:oei-za,mei-gi,šutu:me,elam1244
maŋ,mosɛn,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,maŋ,mənjan,mosɛn,mən,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,yəkəl,mənjan,mən,ende1235
