fFF,fFM,fMF,fMM,mFF,mFM,mMF,mMM,Glottocode
no-besʼ-sib-ä,na-eʼ-bä,no-besʼ-sib-ä,na-eʼ-bä,no-besʼ-sib-ä,na-eʼ-bä,no-besʼ-sib-ä,na-eʼ-bä,gros1243
tamə,iari,tamə,iari,tamə,iari,tamə,iari,guaj1256
tamoĩ,yarì,tamoĩ,yarì,tamoĩ,yarì,tamoĩ,yarì,guar1292
kami,ngulmpurr,ngathi,kami,kami,ngulmpurr,ngathi,kami,gugu1255
gami,babi,ngathi,gami,gami,babi,ngathi,gami,gugu1255a
märovadova,märiyardima,märovadova,märiyardima,märovadova,märiyardima,märovadova,märiyardima,guja1252
mawaʔ,makːaʔ,mamamʔ,gakːak,mawaʔ,makːaʔ,mamamʔ,gakːak,gunw1252
ngathiny,papiny,ngathiny,kaminy,ngathiny,papiny,ngathiny,kaminy,guny1241
maari\'mu,muumu,ngathi,maari,maari\'mu,muumu,ngathi,maari,gupa1247
kaku,ngaputyu,tyawityi,tyatyu,kaku,ngaputyu,tyawityi,tyatyu,guri1247
sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro,gusi1247
set-seeʼ,set-soʼ,set-seeʼ,set-soʼ,set-seeʼ,set-soʼ,set-seeʼ,set-soʼ,gwic1235
cīāǁū,cīāǁū,cīāǁū,cīāǁū,cīāǁū,cīāǁū,cīāǁū,cīāǁū,gwii1239
sokuru,nyokuru,sokuru,nyokuru,sokuru,nyokuru,sokuru,nyokuru,haaa1252
zimbing,zimbing,zimbing,zimbing,zimbing,zimbing,zimbing,zimbing,hano1246a
bibi,bibi,bibi,tutu,bibi,bibi,bibi,tutu,hano1246b
lakí,idu,lakí,idu,lakí,idu,lakí,idu,hanu1241
sa-täʼ-chock,sa-choʼ-na,sa-täʼ-chock,sa-choʼ-na,sa-täʼ-chock,sa-choʼ-na,sa-täʼ-chock,sa-choʼ-na,hare1243
kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine,kupunakāne,kupunawahine,hawa1245
tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,tá:t'énkûlu,má:w'énkûlu,haya1250
kuuku,papa,kuuku,papa,kuuku,papa,kuuku,papa,hehe1240
tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene,tateomunene,mamaomunene,here1253
mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,mä-toosh-a-rǔʼ-tä-kä,kä-rǔʼ-hǎ,hida1246
tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,tata-hweyi,nana-hweyi,high1278
lolo,lola,lolo,lola,lolo,lola,lolo,lola,hili1240
merádádá,meridádi,merádádá,meridádi,merádádá,meridádi,merádádá,meridádi,hind1269
huhha-,hanna-,huhha-,hanna-,huhha-,hanna-,huhha-,hanna-,hitt1242
med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,med͜zhayr,med͜zmayr,homs1234
kwa,so'o,kwa,so'o,kwa,so'o,kwa,so'o,hopi1249
