fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
n'-tǔsʼ,n'-tǔsʼ,nǔ-lǔksʼ,n'-tǔsʼ,n'-kwisʼ,n'-kwisʼ,n'-tǔsʼ,nǔ-lǔksʼ,n'-tǔsʼ,n'-kwisʼ,n'-tǔsʼ,n'-tǔsʼ,n'-kwisʼ,n'-sum,nǔ-lǔksʼ,n'-kwisʼ,n'-tǔsʼ,n'-kwisʼ,n'-sum,nǔ-lǔksʼ,mikm1235
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,kemenakan,kemenakan,anak,anak,anak,kemenakan,kemenakan,mina1268
'na,vivianá,vivianá,vivianá,vivianá,'na,vivianá,vivianá,vivianá,vivianá,tamaná,mátuaná,mátuaná,mátuaná,mátuaná,tamaná,mátuaná,mátuaná,mátuaná,mátuaná,mini1251
lʸ-aale,le-teese,le-teesek,le-teese,le-teesek,lʸ-aale-k,le-teese,le-teesek,le-teese,le-teesek,lʸ-aale,le-teese,le-teesek,le-teese,le-teesek,lʸ-aale-k,le-teese,le-teesek,le-teese,le-teesek,moco1246
kori,anipsia,anipsios,anipsia,anipsios,yos,anipsia,anipsios,anipsia,anipsios,kori,anipsia,anipsios,anipsia,anipsios,yos,anipsia,anipsios,anipsia,anipsios,mode1248
ka-yäʼ,ka-yäʼ,e-yäʼ,ka-yäʼ,e-yäʼ,e-yäʼ,ka-yäʼ,e-yäʼ,ka-yäʼ,e-yäʼ,ka-yäʼ,ka-yäʼ,e-yäʼ,ka-yo-wäʼ-dä,e-yo-wäʼ-dä,e-yäʼ,ka-yäʼ,e-yäʼ,ka-yo-wäʼ-dä,e-yo-wäʼ-dä,moha1258
ne-chuneʼ,nä-kunʼ,näʼ-kunʼ,ne-chuneʼ,n'-di-omeʼ,n'-di-omeʼ,nä-kunʼ,näʼ-kunʼ,ne-chuneʼ,n'-di-omeʼ,ne-chuneʼ,nä-kunʼ,nä-kunʼ,nohk-soh-kwäʼ-oh,no-kwathʼ,n'-di-omeʼ,nä-kunʼ,nä-kunʼ,nohk-soh-kwäʼ-oh,no-kwathʼ,mohe1244
mwan'amolana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mwan'amolana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mwan'amunyana,mwan'amolana,mwan'amunyana,mwan'ali,mwan'ali,mokp1239
ɔxəŋ,at͡ʃʰtu,at͡ʃʰtu,zetu,zetu,xu,at͡ʃʰtu,at͡ʃʰtu,zetu,zetu,ɔxəŋ,at͡ʃʰtu,at͡ʃʰtu,zetu,zetu,xu,at͡ʃʰtu,at͡ʃʰtu,zetu,zetu,mong1331
bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,bona,mong1338
ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,mori1268
ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,moro1287
merei,pio,pio,vavine,vavine,merei,pio,pio,vavine,vavine,merei,pio,pio,vavine,vananoi,merei,pio,pio,vavine,vananoi,mota1237
intik,wōintik,wōintik,wōintik,wōintik,intik,wōintik,wōintik,wōintik,wōintik,intik,nintigi,nintigi,moyuk,moyuk,intik,nintigi,nintigi,moyuk,moyuk,motl1237
natu,natugu,natugu,natugu,natugu,natu,natugu,natugu,natugu,natugu,natu,natugu,natugu,vavagu,vavagu,natu,natugu,natugu,vavagu,vavagu,motu1246
chin3,ngalinya,ngalinya,tyuka,tyuka,chin3,ngalinya,ngalinya,tyuka,tyuka,chin3,ngalinya,ngalinya,tyuka,tyuka,chin3,ngalinya,ngalinya,tyuka,tyuka,mudb1240
ana,fokoanau,fokoanau,fokoanau,fokoanau,ana,fokoanau,fokoanau,fokoanau,fokoanau,ana,fokoanau,fokoanau,fokoanau,fokoanau,ana,fokoanau,fokoanau,fokoanau,fokoanau,muna1247
nain-däʼ-ness,nain-däʼ-niss,nain-gwaseʼ,nain-däʼ-ness,nain-gwaseʼ,nain-gwaseʼ,nain-däʼ-niss,nain-gwaseʼ,nain-däʼ-ness,nain-gwaseʼ,nain-däʼ-ness,nain-däʼ-niss,nain-gwaseʼ,na-loneʼ-gwä-sisʼ,na-loneʼ-gwä-sisʼ,nain-gwaseʼ,nain-däʼ-niss,nain-gwaseʼ,na-loneʼ-gwä-sisʼ,na-loneʼ-gwä-sisʼ,muns1251
wakal,newuywakal,mulukwakal,wakal,wakal,wakal,newuywakal,mulukwakal,wakal,wakal,wakal,wakal,wakal,newuywakal,mulukwakal,wakal,wakal,wakal,newuywakal,mulukwakal,murr1258
natu-,aloa-,aloa-,natu-,natu-,natu-,aloa-,aloa-,natu-,natu-,natu-,natu-,natu-,aloa-,aloa-,natu-,natu-,natu-,aloa-,aloa-,muss1246
nanto,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,nanto,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,noḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,oḿwa-oḿwaḿto,oḿwa-onoḿe,myen1241
ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,ana,nage1237
latu-,isa-,isa-,latu-,latu-,latu-,isa-,isa-,latu-,latu-,latu-,latu-,latu-,hala-,hala-,latu-,latu-,latu-,hala-,hala-,naka1262
ambum,ambum,ambum,ambum,ambum,ambum,taghar,taghar,ambum,ambum,ambum,ambum,ambum,bafè,bafè,ambum,taghar,taghar,bafè,bafè,nama1266
natin,loan,loan,loan,loan,natin,loan,loan,loan,loan,natin,loan,loan,loan,loan,natin,loan,loan,loan,loan,nama1268
toge,toge,toge,bava,bava,toge,tasor,tasor,bava,bava,toge,toge,toge,bava,bava,toge,tasor,tasor,bava,bava,namb1293
nʸenʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸenʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nʸemʸaŋg~nʸenʸu,mʸaŋg~nʸu,nene1249
toge,toge,toge,baba,baba,toge,seser,seser,baba,baba,toge,toge,toge,baba,baba,toge,seser,seser,baba,baba,nenn1238
toge,toge,toge,baba,baba,toge,seser,seser,baba,baba,toge,toge,toge,baba,baba,toge,seser,seser,baba,baba,nenn1238a
chori,bhadai,bhadoho,choori,chhora,choro,bhadai,bhadoho,choori,chhora,chori,bhatiji,bhatijo,bhānji,bhānij,choro,bhatiji,bhatijo,bhānji,bhānij,nepa1254
ngartan,kurturtungkatya,katya,yurntal,katya,katya,kurturtungkatya,katya,yurntal,katya,ngartan,yurntal,katya,kurturtungkatya,katya,katya,yurntal,katya,kurturtungkatya,katya,ngaa1240
wuɖ,bejcan,bej,wuɖ,wuɖ,wuɖ,bejcan,bej,wuɖ,wuɖ,bejcan,bejcan,bej,wuɖ,wuɖ,bej,bejcan,bej,wuɖ,wuɖ,ngal1292
ngathani,padi,padi,padi,parrarri,ngathanda,padi,padi,padi,parrarri,ngathani,padi,padi,padi,parrarri,ngathanda,padi,padi,padi,parrarri,ngam1265
ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngalawiny,ngalawiny,ngalawiny,kurturtu,kurturtu,ngar1235
kurntal,ngarraya,thuwa,ngatyala,ngatyala,manyka,ngarraya,thuwa,ngatyala,ngatyala,kurntal,ngarraya,thuwa,ngatyala,ngatyala,manyka,ngarraya,thuwa,ngatyala,ngatyala,ngar1287
mwana,mwana,mwana,mhwa,mhwa,mwana,mwana,mwana,mhwa,mhwa,mwana,mwana,mwana,mhwa,mhwa,mwana,mwana,mwana,mhwa,mhwa,ngul1246
nanungunangoroy,nanungunangoroy,natungunanoay,pwelemata,pwelemata,natungunanoay,nanungunangoroy,natungunanoay,pwelemata,pwelemata,nanungunangoroy,nanungunangoroy,natungunanoay,pwelemata,pwelemata,natungunanoay,nanungunangoroy,natungunanoay,pwelemata,pwelemata,ngun1274
yurdu,nanyee,kaggajee,nanyee,kaggajee,wurdu,nanyee,kaggajee,nanyee,kaggajee,yurdu,nanyee,kaggajee,nanyee,kaggajee,wurdu,nanyee,kaggajee,nanyee,kaggajee,nhan1238
thee-ye,yiha-ye,thãlesi-ye,yiha-ye,thãlesi-ye,ulu-ye,yiha-ye,thãlesi-ye,yiha-ye,thãlesi-ye,thee-ye,yiha-ye,thãlesi-ye,yiha-ye,thãlesi-ye,ulu-ye,yiha-ye,thãlesi-ye,yiha-ye,thãlesi-ye,nina1238
kɨz,yiyеnkɨz,yiyen,yiyеnkɨz,yiyen,yas,yiyеnkɨz,yiyen,yiyеnkɨz,yiyen,kɨz,yiyеnkɨz,yiyen,yiyеnkɨz,yiyen,yas,yiyеnkɨz,yiyen,yiyеnkɨz,yiyen,noga1249
bádö,imidó',imidó',imidó',imidó',dūa,imidó',imidó',imidó',imidó',bádö,hᶹja,hᶹja,īnanák'wa,īnanák'wa,dūa,hᶹja,hᶹja,īnanák'wa,īnanák'wa,nort1551
keç,brazî,brazê,xarzî,xarzê,kûr,brazî,brazê,xarzî,xarzê,keç,brazî,brazê,xarzî,xarzê,kûr,brazî,brazê,xarzî,xarzê,nort2641
mīār,bhatījī,bhatījā,sannēmīār,sannēmarrī,marrī,bhatījī,bhatījā,sannēmīār,sannēmarrī,mīār,bhatījī,bhatījā,sannēmīār,sannēmarrī,marrī,bhatījī,bhatījā,sannēmīār,sannēmarrī,nort2702
natungunangoroy,natungunangoroy,natungunanoay,pwelemata,pwelemata,natungunanoay,natungunangoroy,natungunanoay,pwelemata,pwelemata,natungunangoroy,natungunangoroy,natungunanoay,pwelemata,pwelemata,natungunanoay,natungunangoroy,natungunanoay,pwelemata,pwelemata,nort2836
kučáaŋaa,náat,náat,náat,náat,kit,náat,náat,náat,náat,kučáaŋaa,náat,náat,náat,náat,kit,náat,náat,náat,náat,nort2938
setúé,sehsa,sebáa,sehsa,sebáa,seyaa,sehsa,sebáa,sehsa,sebáa,setúé,sehsa,sebáa,sehsa,sebáa,seyaa,sehsa,sebáa,sehsa,sebáa,nort2942
bom,kamim,kamim,kamim,kamim,tem,kamim,kamim,kamim,kamim,bom,kamim,kamim,kamim,kamim,tem,kamim,kamim,kamim,kamim,nort2952
apani,panidai,ghawidai,panidai,ghawidai,keghawi,panidai,ghawidai,panidai,ghawidai,apani,panidai,ghawidai,tcamandai,cuwahondai,keghawi,panidai,ghawidai,tcamandai,cuwahondai,nort2966
kau,hẽ'rãmãrã,õ'ãõã,hẽ'rãmãrã,õ'ãõã,o'ar̃a,hẽ'rãmãrã,õ'ãõã,hẽ'rãmãrã,õ'ãõã,kau,hẽ'rãmãrã,õ'ãõã,hẽ'rãmãrã,õ'ãõã,o'ar̃a,hẽ'rãmãrã,õ'ãõã,hẽ'rãmãrã,õ'ãõã,nort2972
datter,niese,nevø,niese,nevø,sønn,niese,nevø,niese,nevø,datter,niese,nevø,niese,nevø,sønn,niese,nevø,niese,nevø,norw1259
dustr,ełborałǰik,ełborordi,ḱeṙdustr,ḱeṙustr,ordi,ełborałǰik,ełborordi,ḱeṙdustr,ḱeṙustr,dustr,ełborałǰik,ełborordi,ḱeṙdustr,ḱeṙustr,ordi,ełborałǰik,ełborordi,ḱeṙdustr,ḱeṙustr,nucl1235
kız,yeğen,yeğen,yeğen,yeğen,oğul,yeğen,yeğen,yeğen,yeğen,kız,yeğen,yeğen,yeğen,yeğen,oğul,yeğen,yeğen,yeğen,yeğen,nucl1301
nǎnnǎmǎgǎlu,nǎnnǎsodǎrǎsǒse,nǎnnǎaliyanu,nǎnnǎmǎgǎlu,nǎnnǎmǎgǎnu,nǎnnǎmǎgǎnu,nǎnnǎsodǎrǎsǒse,nǎnnǎaliyanu,nǎnnǎmǎgǎlu,nǎnnǎmǎgǎnu,nǎnnǎmǎgǎlu,nǎnnǎmǎgǎlu,nǎnnǎmǎgǎnu,nǎnnǎsodǎrǎsǒse,nǎnnǎsodǎrǎlīyǎ,nǎnnǎmǎgǎnu,nǎnnǎmǎgǎlu,nǎnnǎmǎgǎnu,nǎnnǎsodǎrǎsǒse,nǎnnǎsodǎrǎlīyǎ,nucl1305
ami,tuma,tu,tuma,tu,a,tuma,tu,tuma,tu,ami,tuma,tu,tuma,tu,a,tuma,tu,tuma,tu,nucl1310
ana',penakan,penakan,penakan,penakan,ana',penakan,penakan,penakan,penakan,ana',penakan,penakan,penakan,penakan,ana',penakan,penakan,penakan,penakan,nucl1460
musūme,mei,oii,mei,oii,musuko,mei,oii,mei,oii,musūme,mei,oii,mei,oii,musuko,mei,oii,mei,oii,nucl1643
łgułgm-hanaʔa,łguł,łguł,łguł,łguł,łgułgmʔyu,łguł,łguł,łguł,łguł,łgułgm-hanaʔa,łguł,łguł,łguł,łguł,łgułgmʔyu,łguł,łguł,łguł,łguł,nucl1649
n'-däʼ-nä,n'-däʼ-näʼ,ne-läʼ-gwä-lis-säʼ,n'-däʼ-näʼ,ne-gwis-säʼ,ne-gwis-säʼ,n'-däʼ-näʼ,ne-läʼ-gwä-lis-säʼ,n'-däʼ-näʼ,ne-gwis-säʼ,n'-däʼ-nä,n'-däʼ-näʼ,ne-gwis-säʼ,ne-she-mis-säʼ,ne-läʼ-gwä-lis-säʼ,ne-gwis-säʼ,n'-däʼ-näʼ,ne-gwis-säʼ,ne-she-mis-säʼ,ne-läʼ-gwä-lis-säʼ,nucl1653
natunewe,tamotewe,tamota,natunewe,natu,natu,tamotewe,tamota,natunewe,natu,natunewe,natunewe,natu,tamotewe,tamota,natu,natunewe,natu,tamotewe,tamota,numb1247
mwanaunkiikulu,umwipwa,umwipwa,umwipwa,umwipwa,umwanaundumyana,umwipwa,umwipwa,umwipwa,umwipwa,mwanaunkiikulu,umwipwa,umwipwa,umwipwa,umwipwa,umwanaundumyana,umwipwa,umwipwa,umwipwa,umwipwa,nyak1260
tyilya,ngaraya,tyilya,ngaraya,tyilya,tyilya,ngaraya,tyilya,ngaraya,tyilya,tyilya,ngaraya,tyilya,ngaraya,tyilya,tyilya,ngaraya,tyilya,ngaraya,tyilya,nyam1271
kurntal,kurntal,marruku,kurntal,ngarraya,partany,kurntal,marruku,kurntal,ngarraya,kurntal,kurntal,marruku,kurntal,ngarraya,partany,kurntal,marruku,kurntal,ngarraya,nyan1301
mwana,mwana,mwana,omusia,omusia,mwana,mwana,mwana,omusia,omusia,mwana,mwana,mwana,omusia,omusia,mwana,mwana,mwana,omusia,omusia,nyor1246
bidi,jalangk,jalangk,jalangk,jalangk,waal,jalangk,jalangk,jalangk,jalangk,bidi,jalangk,jalangk,jalangk,jalangk,waal,jalangk,jalangk,jalangk,jalangk,nyul1247
kû:nkwɛ̂:,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,kû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,kû:nkwɛ̂:,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,kû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,lă:nkû:nkwɛ̂:,lă:nkû:njɔ̂:ŋ,oduu1239
n'-dä-nissʼ,n'-doʼ-zha-mǐ-kwamʼ,ne-nin-gwi-nisʼ,n'-dä-niss,nin-gwisʼ,nin-gwisʼ,n'-doʼ-zha-mǐ-kwamʼ,ne-nin-gwi-nisʼ,n'-dä-niss,nin-gwisʼ,n'-dä-nissʼ,n'-doʼ-zha-mǐ-kwamʼ,n'-doʼ-zhim-ǎʼ,ne-she-misʼ,ne-nin-gwi-nisʼ,nin-gwisʼ,n'-doʼ-zha-mǐ-kwamʼ,n'-doʼ-zhim-ǎʼ,ne-she-misʼ,ne-nin-gwi-nisʼ,ojib1241
bartā̃brattā,brat-ʔaχā,bar-ʔaχā,brat-ʔaχā,bar-ʔaχā,brā,brat-ʔaχā,bar-ʔaχā,brat-ʔaχā,bar-ʔaχā,bartā̃brattā,brat-ʔaχā,bar-ʔaχā,brat-ʔaχā,bar-ʔaχā,brā,brat-ʔaχā,bar-ʔaχā,brat-ʔaχā,bar-ʔaχā,olda1245
dohtor,nift,nefa,nift,nefa,sunu,nift,nefa,nift,nefa,dohtor,nift,nefa,nift,nefa,sunu,nift,nefa,nift,nefa,olde1238
tohter,nift,nevo,nift,nevo,sun,nift,nevo,nift,nevo,tohter,nift,nevo,nift,nevo,sun,nift,nevo,nift,nevo,oldh1241
ingen,necht,macbráthar,necht,nia,mac,necht,macbráthar,necht,nia,ingen,necht,macbráthar,necht,nia,mac,necht,macbráthar,necht,nia,oldi1245
dōttir,nipt,nefi,nipt,nefi,sunr,nipt,nefi,nipt,nefi,dōttir,nipt,nefi,nipt,nefi,sunr,nipt,nefi,nipt,nefi,oldn1244
we-zhun̤ʼ-ga,we-zhun̤-ga,wee-toansʼ-kä,we-zhun̤-ga,wee-zhin̤-ga,we-zhin-go,we-zhun̤-ga,wee-toansʼ-kä,we-zhun̤-ga,wee-zhin̤-ga,we-zhun̤ʼ-ga,we-zhun̤-ga,wee-nǐʼ-se,we-teʼ-zhä,wee-toansʼ-kä,we-nǐsʼ-se,we-zhun̤-ga,wee-nǐʼ-se,we-teʼ-zhä,wee-toansʼ-kä,omah1247
tˀamn,ʔanxin,ʔanenḳˀ,ʔanxin,ʔanenḳˀ,lalʔ,ʔanxin,ʔanenḳˀ,ʔanxin,ʔanenḳˀ,tˀamn,ʔanxin,ʔanenḳˀ,ʔanxin,ʔanenḳˀ,lalʔ,ʔanxin,ʔanenḳˀ,ʔanxin,ʔanenḳˀ,onaa1245
ka-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,le-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,ka-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,ka-yǎʼ-wan-dǎʼ,ha-yǎʼ-wan-däʼ,le-yäʼ-hä,ka-yäʼ-hä,le-yäʼ-hä,ka-yǎʼ-wan-dǎʼ,ha-yǎʼ-wan-däʼ,onei1249
ka-häʼ-wä,ka-häʼ-wä,ha-häʼ-wa,ka-häʼ-wä,ha-häʼ-wä,ha-häʼ-wä,ka-häʼ-wä,ha-häʼ-wa,ka-häʼ-wä,ha-häʼ-wä,ka-häʼ-wä,ka-häʼ-wä,ha-häʼ-wä,ka-yä-wäʼ-da,ha-yä-wäʼ-da,ha-häʼ-wä,ka-häʼ-wä,ha-häʼ-wä,ka-yä-wäʼ-da,ha-yä-wäʼ-da,onon1246
kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,kama,lamoku,lamoku,kama,kama,kama,lamoku,lamoku,onto1237
zia,ziari,puttura,bhanaji,bhanaja,puvo,ziari,puttura,bhanaji,bhanaja,zia,ziari,puttura,bhanaji,bhanaja,puvo,ziari,puttura,bhanaji,bhanaja,oriy1255
we-shonʼ-ka,we-shonʼ-ka,we-choseʼ-ka,we-shonʼ-ka,we-shenʼ-kä,we-sheʼ-kä,we-shonʼ-ka,we-choseʼ-ka,we-shonʼ-ka,we-shenʼ-kä,we-shonʼ-ka,we-shonʼ-ka,we-sheʼ-kä,we-cheʼ-zho,we-choseʼ-kä,we-sheʼ-kä,we-shonʼ-ka,we-sheʼ-kä,we-cheʼ-zho,we-choseʼ-kä,osag1243
chyzg,æfsymærychyzg,æfsymærylæppu,khæræfyrt,khæræfyrt,fyrt,æfsymærychyzg,æfsymærylæppu,khæræfyrt,khæræfyrt,chyzg,æfsymærychyzg,æfsymærylæppu,khæræfyrt,khæræfyrt,fyrt,æfsymærychyzg,æfsymærylæppu,khæræfyrt,khæræfyrt,osse1243
he-yun̤ʼ-ga,he-yun̤ʼ-ga,hin-toseʼ-kee,he-yun̤ʼ-ga,he-neʼ-cha,he-neʼ-cha,he-yun̤ʼ-ga,hin-toseʼ-kee,he-yun̤ʼ-ga,he-neʼ-cha,he-yun̤ʼ-ga,he-yun̤ʼ-ga,he-neʼ-cha,hin-toseʼ-kee-mee,hin-toseʼ-kee,he-neʼ-cha,he-yun̤ʼ-ga,he-neʼ-cha,hin-toseʼ-kee-mee,hin-toseʼ-kee,otoo1241
n'-dä-nissʼ,n'-doʼ-tha-mi-kwamʼ,ne-nin-gwi-nisʼ,n'-dä-nissʼ,n'-gwisʼ,n'-gwisʼ,n'-doʼ-tha-mi-kwamʼ,ne-nin-gwi-nisʼ,n'-dä-nissʼ,n'-gwisʼ,n'-dä-nissʼ,n'-doʼ-tha-mi-kwamʼ,n'-do-zhimʼ,ne-she-misʼ,ne-nin-gwi-nisʼ,n'-gwisʼ,n'-doʼ-tha-mi-kwamʼ,n'-do-zhimʼ,ne-she-misʼ,ne-nin-gwi-nisʼ,otta1242
natin,meteilau,meteilau,meteilau,meteilau,natin,meteilau,meteilau,meteilau,meteilau,natin,meteilau,meteilau,meteilau,meteilau,natin,meteilau,meteilau,meteilau,meteilau,paam1238
näi,nôôra,nôôra,näi,näi,näi,nôôra,nôôra,näi,näi,näi,näi,näi,nîaa,nîaa,näi,näi,näi,nîaa,nîaa,paic1239
alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,alak,paiw1248
anácábabáy,pangunacánbabáy,pangunacánlaláqui,pangunacánbabáy,pangunacánlaláqui,anácálaláqui,pangunacánbabáy,pangunacánlaláqui,pangunacánbabáy,pangunacánlaláqui,anácábabáy,pangunacánbabáy,pangunacánlaláqui,pangunacánbabáy,pangunacánlaláqui,anácálaláqui,pangunacánbabáy,pangunacánlaláqui,pangunacánbabáy,pangunacánlaláqui,pamp1243
tìì,bhatiji,bhatijā,bhāneji,pāhṇja,pūtar,bhatiji,bhatijā,bhāneji,pāhṇja,tìì,bhatiji,bhatijā,bhāneji,pāhṇja,pūtar,bhatiji,bhatijā,bhāneji,pāhṇja,panj1256
meᵐbɨ-kuɲa,cheermánor-ajy,cheermánor-a'y,cheermánar-ajy,cheermánar-a'y,meᵐbɨ-kuiᵐbaʔe,cheermánor-ajy,cheermánor-a'y,cheermánar-ajy,cheermánar-a'y,meᵐbɨ-kuɲa,cheermánor-ajy,cheermánor-a'y,cheermánar-ajy,cheermánar-a'y,meᵐbɨ-kuiᵐbaʔe,cheermánor-ajy,cheermánor-a'y,cheermánar-ajy,cheermánar-a'y,para1311
lur,wrèra,wrɑrә,khurdzha,khwaryéī,zwe,wrèra,wrɑrә,khurdzha,khwaryéī,lur,wrèra,wrɑrә,khurdzha,khwaryéī,zwe,wrèra,wrɑrә,khurdzha,khwaryéī,pash1269
jojompin,fonompin,fono,fonompin,fono,joimon,fonompin,fono,fonompin,fono,jojompin,fonompin,fono,fonompin,fono,joimon,fonompin,fono,fonompin,fono,pata1260
peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,peʼ-row,teʼ-wut,teʼ-wut,peʼ-row,peʼ-row,peʼ-row,teʼ-wut,teʼ-wut,pawn1254
unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,unga,ponungao,ponungao,ponungao,ponungao,pend1242
tama-hine,tau-kohera,toate,tau-kohera,toate,tama-iti,tau-kohera,toate,tau-kohera,toate,tama-hine,tau-kohera,toate,tau-kohera,toate,tama-iti,tau-kohera,toate,tau-kohera,toate,penr1237
nin-dä-nä,nin-däʼ-nä,ne-lǎʼ-gwä-la-säʼ,nin-däʼ-nä,nin̤-gwa-säʼ,nin̤-gwa-säʼ,nin-däʼ-nä,ne-lǎʼ-gwä-la-säʼ,nin-däʼ-nä,nin̤-gwa-säʼ,nin-dä-nä,nin-däʼ-nä,nin̤-gwa-säʼ,ne-she-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,nin̤-gwa-säʼ,nin-däʼ-nä,nin̤-gwa-säʼ,ne-she-mis-säʼ,ne-lǎʼ-gwä-la-säʼ,peor1238
muna,muehú,muehú,muehú,muehú,muna,muehú,muehú,muehú,muehú,muna,muehú,muehú,muehú,muehú,muna,muehú,muehú,muehú,muehú,phen1239
ne-tanʼ-ä,n'-toʼ-to-tun,n'-doʼ-to-yose,n'-toʼ-to-tun,n'-doʼ-to-ko,nohˑʼ-ko,n'-toʼ-to-tun,n'-doʼ-to-yose,n'-toʼ-to-tun,n'-doʼ-to-ko,ne-tanʼ-ä,n'-toʼ-to-tun,n'-doʼ-ta-ko,nee-misʼ-sä,n'-doʼ-to-yose,nohˑʼ-ko,n'-toʼ-to-tun,n'-doʼ-ta-ko,nee-misʼ-sä,n'-doʼ-to-yose,pieg1239
le-kʔo-ḳte,l-aʔyole,l-aʔyole-k,l-aʔyole,l-aʔyole-k,le-'kʔo-ʁot,l-aʔyole,l-aʔyole-k,l-aʔyole,l-aʔyole-k,le-kʔo-ḳte,l-aʔyole,l-aʔyole-k,l-aʔyole,l-aʔyole-k,le-'kʔo-ʁot,l-aʔyole,l-aʔyole-k,l-aʔyole,l-aʔyole-k,pila1245
taine,taine,tama,taine,tama,tama,taine,tama,taine,tama,ahahine,ahahine,ataliki,ilamotu,ilamotu,ataliki,ahahine,ataliki,ilamotu,ilamotu,pile1238
mintyi,ukari,katya,urntal,katya,katya,ukari,katya,urntal,katya,mintyi,urntal,katya,ukari,katya,katya,urntal,katya,ukari,katya,pitj1243
ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari,ngathapiyaka,ngathapiyaka,ngathapiyaka,ngathari,ngathari,pitt1247
n'-däʼ-nis,n'-doʼ-sa-mis-kwameʼ,n'-de-kwä-timʼ,n'-doʼ-sa-mis-kwameʼ,n'-goʼ-sim,n'-goʼ-sis,n'-doʼ-sa-mis-kwameʼ,n'-de-kwä-timʼ,n'-doʼ-sa-mis-kwameʼ,n'-goʼ-sim,n'-däʼ-nis,n'-doʼ-sa-mis-kwameʼ,n'-doʼ-sim,nesse-timʼ,n'-de-kwä-timʼ,n'-goʼ-sis,n'-doʼ-sa-mis-kwameʼ,n'-doʼ-sim,nesse-che-mishʼ,n'-de-kwä-timʼ,plai1258
