fD,feBD,feBS,feZD,feZS,fS,fyBD,fyBS,fyZD,fyZS,mD,meBD,meBS,meZD,meZS,mS,myBD,myBS,myZD,myZS,Glottocode
kânmakan,ćumakan,ćumara,ćumakan,ćumara,kânmara,ćumakan,ćumara,ćumakan,ćumara,kânmakan,ćumakan,ćumara,ćumakan,ćumara,kânmara,ćumakan,ćumara,ćumakan,ćumara,bitt1240
ne-tanʼ-ä,ne-toʼ-to-tun,no-ǎʼ-toase,ne-toʼ-to-tun,ne-toʼ-to-kohˑʼ-ǎ,nohˑ-koʼ-ä,ne-toʼ-to-tun,no-ǎʼ-toase,ne-toʼ-to-tun,ne-toʼ-to-kohˑʼ-ǎ,ne-tanʼ-ä,ne-toʼ-to-tun,ne-toʼ-to-kohˑʼ-a,ne-misʼ-sä,no-ǎʼ-toase,nohˑ-koʼ-ä,ne-toʼ-to-tun,ne-toʼ-to-kohˑʼ-a,ne-misʼ-sä,no-ǎʼ-toase,bloo1239
tadde'-na,poguanakan,poguanakan,poguanakan,poguanakan,tadde'-na,poguanakan,poguanakan,poguanakan,poguanakan,tadde'-na,poguanakan,poguanakan,poguanakan,poguanakan,tadde'-na,poguanakan,poguanakan,poguanakan,poguanakan,boan1243
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,bont1247
merc'h,nizez,niz,nizez,niz,mab,nizez,niz,nizez,niz,merc'h,nizez,niz,nizez,niz,mab,nizez,niz,nizez,niz,bret1244
yegang,kemenaken,kemenaken,kemenaken,kemenaken,yegang,kemenaken,kemenaken,kemenaken,kemenaken,yegang,kemenaken,kemenaken,kemenaken,kemenaken,yegang,kemenaken,kemenaken,kemenaken,kemenaken,broo1239
me-chunkʼ-she,me-chunkʼ-she,me-toaseʼ-kä,me-chunkʼ-she,me-chinkʼ-she,me-chinkʼ-she,me-chunkʼ-she,me-toaseʼ-kä,me-chunkʼ-she,me-chinkʼ-she,me-chunkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-tohʼ-zhä,me-toaseʼ-kä,me-chinkʼ-she,me-chunkʼ-she,me-chinkʼ-she,me-tohʼ-zhä,me-toaseʼ-kä,brul1239
anák,baay,bapa,baay,bapa,anák,baay,bapa,baay,bapa,anák,baay,bapa,baay,bapa,anák,baay,bapa,baay,bapa,buhi1245
ruro,rogura,mipo,rogura,roguru,ruŋ,rogura,mipo,rogura,roguru,ruro,rogura,mipo,rogura,roguru,ruŋ,rogura,mipo,rogura,roguru,buin1247
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,buka1261
ómukhaana,omeweengechana,omeweengechana,ómwiiseengeechana,ómwiiseengeechana,ómwaana,omeweengechana,omeweengechana,ómwiiseengeechana,ómwiiseengeechana,ómukhaana,ómwiiwååna,ómwiiwååna,omwiiwa,omwiiwa,ómwaana,ómwiiwååna,ómwiiwååna,omwiiwa,omwiiwa,buku1249
dǔšterja,brata'nica,brata'nec,sestrini'ca,se'strinik,sin,brata'nica,brata'nec,sestrini'ca,se'strinik,dǔšterja,brata'nica,brata'nec,sestrini'ca,se'strinik,sin,brata'nica,brata'nec,sestrini'ca,se'strinik,bulg1262
ntoemaping,fanomaping,fano,fanomaping,fano,ntoeman,fanomaping,fano,fanomaping,fano,ntoemaping,fanomaping,fano,fanomaping,fano,ntoeman,fanomaping,fano,fanomaping,fano,buli1256
kuwar,warangatirang,warangatirang,kupagari,kupagari,kupung,warangatirang,warangatirang,kupagari,kupagari,kuwar,warangikupangi,warangikupangi,kupagari,kupagari,kupung,warangikupangi,warangikupangi,kupagari,kupagari,bung1264
ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,ana,lakiana,lakiana,lakiana,lakiana,bung1269
k:tha-neé,k:too-mǎ´,k:too,k:too-mǎ´,k:too,k:thä,k:too-mǎ´,k:too,k:too-mǎ´,k:too,k:tha-neé,k:too-mǎ,k:too,k:too-mǎ´,k:too,k:thä,k:too-mǎ,k:too,k:too-mǎ´,k:too,burm1266
anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,anak,buru1303
púlin,ásis,asis,máti,nesi,kíhma,ásis,asis,máti,nesi,súŋama,ásis,takmai,máti,mut,kíhma,ásis,takmai,máti,mut,cahu1264
anak,anéng,anéng,anéng,anéng,anak,anéng,anéng,anéng,anéng,anak,anéng,anéng,anéng,anéng,anak,anéng,anéng,anéng,anéng,casi1235
ka-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ha-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ka-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ka-yuhʼ-wä-deh,ha-yuhʼ-wä-deh,ha-häʼ-wuk,ka-häʼ-wuk,ha-häʼ-wuk,ka-yuhʼ-wä-deh,ha-yuhʼ-wä-deh,cayu1261
anak,pag-umangkun,pag-umangkun,pag-umangkun,pag-umangkun,anak,pag-umangkun,pag-umangkun,pag-umangkun,pag-umangkun,anak,pag-umangkun,pag-umangkun,pag-umangkun,pag-umangkun,anak,pag-umangkun,pag-umangkun,pag-umangkun,pag-umangkun,cebu1242
kitch,braza,braza,khushkaza,khushkaza,kurr,braza,braza,khushkaza,khushkaza,kitch,braza,braza,khushkaza,khushkaza,kurr,braza,braza,khushkaza,khushkaza,cent1972
aleng,pangánakán,pangánakán,pangánakán,pangánakán,aleng,pangánakán,pangánakán,pangánakán,pangánakán,aleng,pangánakán,pangánakán,pangánakán,pangánakán,aleng,pangánakán,pangánakán,pangánakán,pangánakán,cent2084
