fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
dad,dādwaš,dādes,dādwaš,dādes,nan,nānwaš,nānes,nānwaš,nānes,dad,dādwaš,dādes,dādwaš,dādes,nan,nānwaš,nānes,nānwaš,nānes,bats1242
mama,mama,mukul,mama,mukul,pipi,mimi,pipi,mimi,pipi,mama,mama,mukul,mama,mukul,pipi,mimi,pipi,mimi,pipi,bayu1240
amak,toak,toak,toak,toak,induk,toak,toak,toak,toak,amak,toak,toak,toak,toak,induk,toak,toak,toak,toak,beka1241
bác'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,bác'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,bela1254
tata,tatamukalamba,mayosenge,tatamwaice,mayosenge,yangu,yama,mayomukalamba,yama,mayomwaice,tata,tatamukalamba,mayosenge,tatamwaice,mayosenge,yangu,yama,mayomukalamba,yama,mayomwaice,bemb1257
dada,dada,yuvahengi,dadamdodo,yuvahengi,yuva,yaya,mayi,yaya,mayimdodo,dada,dada,yuvahengi,dadamdodo,yuvahengi,yuva,yaya,mayi,yaya,mayimdodo,bena1262
táata,táatamúkulú,sêngé,táatamúkulú,sêngé,måajo,múkwetú,måajomúkulú,múkwetú,måajomúkulú,táata,táatamúkulú,sêngé,táatamúkulú,sêngé,måajo,múkwetú,måajomúkulú,múkwetú,måajomúkulú,bend1258
amarpitah,amarjata,amarpishi,amarkhoro,amarpishi,amarmátah,amarmāmā,amarmashi,amarmāmā,amarmashi,amarpitah,amarjata,amarpishi,amarkhoro,amarpishi,amarmátah,amarmāmā,amarmashi,amarmāmā,amarmashi,beng1280
mîkí,om-epa,kola,mot-epa,kola,bàhá,yàyá,om-ema,yàyá,mot-ema,mîkí,om-epa,kola,mot-epa,kola,bàhá,yàyá,om-ema,yàyá,mot-ema,bera1259
kamam,kmabeba,mebin,kmakasun,mebin,awin,me,snabeba,me,snakasun,kamam,kmabeba,mebin,kmakasun,mebin,awin,me,snabeba,me,snakasun,biak1248
tatei,tatei,vavwe,tatei,vavwe,wunei,bünei,wunei,bünei,wunei,tatei,tatei,vavwe,tatei,vavwe,wunei,bünei,wunei,bünei,wunei,bign1238
tatei,tatei,vavei,tatei,vavei,unei,p'ënei,unei,p'ënei,unei,tatei,tatei,vavei,tatei,vavei,unei,p'ënei,unei,p'ënei,unei,bign1238a
èpá,moteba,alwa'enaepa,omeba,motoenaepa,êmá,noko,om-ema,noko,mot-ema,èpá,moteba,alwa'enaepa,omeba,motoenaepa,êmá,noko,om-ema,noko,mot-ema,bila1255
mam,taman,nǐmbin,taman,nǐmbin,nen,wajan,tinan,wajan,tinan,mam,taman,nǐmbin,taman,nǐmbin,nen,wajan,tinan,wajan,tinan,bilb1241
ama,uliteg,ikit,uliteg,ikit,ina,uliteg,ikit,uliteg,ikit,ama,uliteg,ikit,uliteg,ikit,ina,uliteg,ikit,uliteg,ikit,bino1237
amay,abang,idang,abang,idang,inay,abang,idang,abang,idang,amay,abang,idang,abang,idang,inay,abang,idang,abang,idang,binu1244
yapu,kalŋa,pipi,kalŋa,pipi,yanga,kalŋa,pipi,kalŋa,pipi,yapu,kalŋa,pipi,kalŋa,pipi,yanga,kalŋa,pipi,kalŋa,pipi,biri1256
ninʼ-ne,ne-toʼ-to-mä,ne-toʼ-tahxs,ne-toʼ-to-mä,ne-toʼ-tahxs,neex-istʼ,neeʼ-sä,ne-toʼ-toax-is,neeʼ-sä,ne-toʼ-toax-is,ninʼ-ne,ne-toʼ-to-mä,ne-toʼ-tahxs,ne-toʼ-to-mä,ne-toʼ-tahxs,neex-istʼ,neeʼ-sä,ne-toʼ-toax-is,neeʼ-sä,ne-toʼ-toax-is,bloo1239
ama,alitau,mother,alitau,mother,ina,alitau,mother,alitau,mother,ama,alitau,mother,alitau,mother,ina,alitau,mother,alitau,mother,bont1247
lapa,lapa,arin,lapa,arin,anum,kepa,anum,kepa,anum,lapa,lapa,arin,lapa,arin,anum,kepa,anum,kepa,anum,boun1245
tad,eontrkompez,moerebgompez,eontrkompez,moerebgompez,mamm,eontrkompez,moerebgompez,eontrkompez,moerebgompez,tad,eontrkompez,moerebgompez,eontrkompez,moerebgompez,mamm,eontrkompez,moerebgompez,eontrkompez,moerebgompez,bret1244
ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah,lakeʼ-she,eʼ-nah,ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah,lakeʼ-she,eʼ-nah,brul1239
mama,bapa,baáy,bapa,baáy,inauso,bapa,baáy,bapa,baáy,mama,bapa,baáy,bapa,baáy,inauso,bapa,baáy,bapa,baáy,buhi1245
moka,moka,aagu,moka,aagu,ana,paapa,ana,paapa,ana,moka,moka,aagu,moka,aagu,ana,paapa,ana,paapa,ana,buin1247
amak,aki,ipui,aki,ipui,inak,aki,ipui,aki,ipui,amak,aki,ipui,aki,ipui,inak,aki,ipui,aki,ipui,buka1261
paapa,paapa,seenge,ómuro,seenge,maayi,khóóchá,maayi,khóóchá,ómuro,paapa,paapa,seenge,ómuro,seenge,maayi,khóóchá,maayi,khóóchá,ómuro,buku1249
bašta,čičo,lelja,čičo,lelja,majka,vujčo,lelja,vujčo,lelja,bašta,čičo,lelja,čičo,lelja,majka,vujčo,lelja,vujčo,lelja,bulg1262
mamo!,toewai,fofai,toewai,fofai,aje!hnje,toewai,fofai,toewai,fofai,mamo!,toewai,fofai,toewai,fofai,aje!hnje,toewai,fofai,toewai,fofai,buli1256
mam,mami,yawuri,mami,yawuri,ngat,ngami,papi,ngami,mungayn,mam,mami,yawuri,mami,yawuri,ngat,ngami,papi,ngami,mungayn,bung1264
tuˀa,lakiˀama,lakiˀina,lakiˀama,lakiˀina,indo,lakiˀama,lakiˀina,lakiˀama,lakiˀina,tuˀa,lakiˀama,lakiˀina,lakiˀama,lakiˀina,indo,lakiˀama,lakiˀina,lakiˀama,lakiˀina,bung1269
k:a-bǎ,k:bǎ-ky-ee,k:ky-ee-tan,k:bǎ-twǎ,k:twa-tan,k:a-me´,k:bǎ-tyee,k:mee-ky-ee,k:bǎ-twǎ,k:mee-kwa,k:a-bǎ,k:bǎ-ky-ee,k:ky-ee-tan,k:bǎ-twǎ,k:twa-tan,k:a-me´,k:bǎ-tyee,k:mee-ky-ee,k:bǎ-twǎ,k:mee-kwa,burm1266
ama,ama,yoi,ama,yoi,ina,meme,ina,meme,ina,ama,ama,yoi,ama,yoi,ina,meme,ina,meme,ina,buru1303
tata,tatailenga,tangata,tatailenga,tangata,mai,manumi,maiilenga,manumi,maiilenga,tata,tatailenga,tangata,tatailenga,tangata,mai,manumi,maiilenga,manumi,maiilenga,bush1247
'ama,amay,'dada,amay,'dada,'ina,amay,'dada,amay,'dada,'ama,amay,'dada,amay,'dada,'ina,amay,'dada,amay,'dada,casi1235
häʼ-nih,häʼ-nih,knoʼ-hä,häʼ-nih,knoʼ-hä,knoʼ-hä,kuh-noʼ-seh,knoʼ-hä,kuh-noʼ-seh,knoʼ-hä,häʼ-nih,häʼ-nih,knoʼ-hä,häʼ-nih,knoʼ-hä,knoʼ-hä,kuh-noʼ-seh,knoʼ-hä,kuh-noʼ-seh,knoʼ-hä,cayu1261
úyung,uyuan,anti,uyuan,anti,anay,uyuan,anti,uyuan,anti,úyung,uyuan,anti,uyuan,anti,anay,uyuan,anti,uyuan,anti,cebu1242
baok,mam,pur,mam,pur,daik,khal,pur,khal,pur,baok,mam,pur,mam,pur,daik,khal,pur,khal,pur,cent1972
dama-,úte,masina,úte,masina,hina-,úte,masina,úte,masina,dama-,úte,masina,úte,masina,hina-,úte,masina,úte,masina,cent2084
ama,amiy,iniy,amiy,iniy,ina,amiy,iniy,amiy,iniy,ama,amiy,iniy,amiy,iniy,ina,amiy,iniy,amiy,iniy,cent2090
ama',bapa',babu',bapa',babu',ina',bapa',babu',bapa',babu',ama',bapa',babu',bapa',babu',ina',bapa',babu',bapa',babu',cent2092
tama,tua,tebuso,tua,tebuso,tina,tua,tebuso,tua,tebuso,tama,tua,tebuso,tua,tebuso,tina,tua,tebuso,tua,tebuso,cent2101
apa,a'piku,u'ɲuku,a'piku,u'ɲuku,ama,ah'čiyu,man'guku,ah'čiyu,man'guku,apa,a'piku,u'ɲuku,a'piku,u'ɲuku,ama,ah'čiyu,man'guku,ah'čiyu,man'guku,chac1249
tata,tio,tía,tio,tía,-nana,tio,tía,tio,tía,tata,tio,tía,tio,tía,-nana,tio,tía,tio,tía,cham1312
tata,tio,tia,tio,tia,nana,tio,tia,tio,tia,tata,tio,tia,tio,tia,nana,tio,tia,tio,tia,chav1241
ʔa.pa,bəh.ʔa.pa,meh.ʔa.ma,kaka,mom.ʔa.ma,ʔa.ma,bəh.ʔa.pa,meh.ʔa.ma,kaka,mom.ʔa.ma,ʔa.pa,bəh.ʔa.pa,meh.ʔa.ma,kaka,mom.ʔa.ma,ʔa.ma,bəh.ʔa.pa,meh.ʔa.ma,kaka,mom.ʔa.ma,chep1245
e-dauʼ-ke,e-dauʼ-dä,e-hlänʼ-gǐ,e-dauʼ-dä,e-hlänʼ-gǐ,e-tsǐʼ,e-dǔʼ-tsǐ,e-tsiʼ,e-dǔʼ-tsǐ,e-tsiʼ,e-dauʼ-ke,e-dauʼ-dä,e-hlänʼ-gǐ,e-dauʼ-dä,e-hlänʼ-gǐ,e-tsǐʼ,e-dǔʼ-tsǐ,e-tsiʼ,e-dǔʼ-tsǐ,e-tsiʼ,cher1273
nǎ-oʼ-a,nǎ-oʼ-a,nǎ-unʼ,nǎ-oʼ-a,nǎ-unʼ,nǎʼ-ko,na-sheʼ,nǎʼ-ko,na-sheʼ,nǎʼ-ko,nǎ-oʼ-a,nǎ-oʼ-a,nǎ-unʼ,nǎ-oʼ-a,nǎ-unʼ,nǎʼ-ko,na-sheʼ,nǎʼ-ko,na-sheʼ,nǎʼ-ko,chey1247
pǎʼ-bä,ze-päʼ-bä,ze-pa-ä-fu-chä,ze-päʼ-bä,ze-pa-ä-fu-chä,gǎ-ǔ-iʼ-ä,zu-eʼ-cha,su-äʼ-i-ä,zu-eʼ-cha,su-äʼ-i-ä,pǎʼ-bä,ze-päʼ-bä,ze-pa-ä-fu-chä,ze-päʼ-bä,ze-pa-ä-fu-chä,gǎ-ǔ-iʼ-ä,zu-eʼ-cha,su-äʼ-i-ä,zu-eʼ-cha,su-äʼ-i-ä,chib1270
amgʼ-kǐ,aggʼ-ki,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,lushʼ-kǐ,um-oʼ-shǐ,sush-koʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,amgʼ-kǐ,aggʼ-ki,hap-poʼ-sǐ,aggʼ-ki,hap-poʼ-sǐ,lushʼ-kǐ,um-oʼ-shǐ,sush-koʼ-sǐ,um-oʼ-shǐ,sush-koʼ-sǐ,chic1270
itcila,magola,uluida,magola,uluida,cido,magola,malai,magola,malai,itcila,magola,uluida,magola,uluida,cido,magola,malai,magola,malai,chim1301
setá,seʔe,sâk’íe,seʔe,sâk’íe,ʔamá,seʔe,sâk’íe,seʔe,sâk’íe,setá,seʔe,sâk’íe,seʔe,sâk’íe,ʔamá,seʔe,sâk’íe,seʔe,sâk’íe,chip1261
aʼ-kǐ,aʼ-kǐ,up-pukʼ-nǐ,aʼ-kǐ,up-pukʼ-nǐ,ushʼ-kǐ,um-ushʼ-ǐ,ushʼ-kǐ,um-ushʼ-ǐ,ushʼ-kǐ,aʼ-kǐ,aʼ-kǐ,a-hukʼ-ne,aʼ-kǐ,a-hukʼ-ne,ushʼ-kǐ,um-ushʼ-ǐ,ushʼ-kǐ,um-ushʼ-ǐ,ushʼ-kǐ,choc1276
tata,tatawasongo,tatapwo,tatawasongo,tatapwo,mama,matu,mamawasongo,matu,mamawasongo,tata,tatawasongo,tatapwo,tatawasongo,tatapwo,mama,matu,mamawasongo,matu,mamawasongo,chok1245
saam,saam,iin,saam,iin,iin,saam,iin,saam,iin,saam,saam,iin,saam,iin,iin,saam,iin,saam,iin,chuu1238
pyyp,pyyp,zobyj,pyyp,zobyj,gaj,terit,gaj,terit,gaj,pyyp,gaj,terit,gaj,terit,gaj,pyyp,zobyi,pyyp,zobyi,cint1239
tahtli,tlaitl,awitzin,tlaitl,awitzin,nantli,tlaitl,awitzin,tlaitl,awitzin,tahtli,tlaitl,awitzin,tlaitl,awitzin,nantli,tlaitl,awitzin,tlaitl,awitzin,clas1250
patiri,pai,mamakira,pai,mamakira,mama,pai,mamakira,pai,mamakira,patiri,pai,mamakira,pai,mamakira,mama,pai,mamakira,pai,mamakira,coca1259
inyia',whinyiwit,enyipi,whinyiskau,enyipi,intca,enyikwa,enyûsi,enyikwa,enyimu,enyiku',whinyiwit,enyipi,whinyiskau,enyipi,intca,enyikwa,enyûsi,enyikwa,enyimu,coco1261
nahate,nakahã,nakahã,nakahã,nakahã,nahaba,nakahã,nakahã,nakahã,nakahã,naˈhate,nakahã,nakahã,nakahã,nakahã,naˈhaba,nakahã,nakahã,nakahã,nakahã,cogu1240
ʔaʰ'pa,mãpi,mã'ku,mãpi,mã'ku,ʔa'yã,mãpi,mã'ku,mãpi,mã'ku,ʔaʰ'pa,mãpi,mã'ku,mãpi,mã'ku,ʔa'yã,mãpi,mã'ku,mãpi,mã'ku,colo1249
ahpï,api,paha,api,paha,pia,ara',pia,ara',pia,ahpï,api,paha,api,paha,pia,ara',pia,ara',pia,coma1245
nohˑ-h',nohˑʼ-tut,n'-gä-häʼ-tut,nohˑʼ-tut,n'-gä-häʼ-tut,n'-gukʼ,n'-sheeʼ-se,n'-gä-häʼ-tut,n'-sheeʼ-se,n'-gä-häʼ-tut,nohˑ-h',nohˑʼ-tut,n'-gä-häʼ-tut,nohˑʼ-tut,n'-gä-häʼ-tut,n'-gukʼ,n'-sheeʼ-se,n'-gä-häʼ-tut,n'-sheeʼ-se,n'-gä-häʼ-tut,comm1246
tâs,éviter,modereb,éviter,modereb,mamm,éviter,modereb,éviter,modereb,tâs,éviter,modereb,éviter,modereb,mamm,éviter,modereb,éviter,modereb,corn1251
emà,momò,inà,momò,inà,inay,momò,inà,momò,inà,emà,momò,inà,momò,inà,inay,momò,inà,momò,inà,cota1241
chuhlʼ-ke,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chu-päʼ-wä,chuch-kǔʼ-ce,chu-päʼ-wä,chuch-kǔʼ-ce,chuhlʼ-ke,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chulʼ-kǔ-cheʼ,chu-pǔʼ-se,chutchʼ-ke,chu-päʼ-wä,chuch-kǔʼ-ce,chu-päʼ-wä,chuch-kǔʼ-ce,cree1270
nohˑ-täʼ-we,noʼ-ko-mis,ni-se-goosʼ,noʼ-ko-mis,ni-se-goosʼ,n'-gäʼ-wa,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nohˑ-täʼ-we,noʼ-ko-mis,ni-se-goosʼ,noʼ-ko-mis,ni-se-goosʼ,n'-gäʼ-wa,nee-sisʼ,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,cree1272
