fF,fFeB,fFeZ,fFyB,fFyZ,fM,fMeB,fMeZ,fMyB,fMyZ,mF,mFeB,mFeZ,mFyB,mFyZ,mM,mMeB,mMeZ,mMyB,mMyZ,Glottocode
ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,ama,maama,naina,maama,naina,ina,maama,naina,maama,naina,meko1237
emama,mamau,mami,mamau,mami,etata,aua,mami,aua,mami,emama,mamau,mami,mamau,mami,etata,aua,mami,aua,mami,mele1250
nohʼ-neh,nohʼ-neh,ne-neʼ,nohʼ-neh,ne-neʼ,ne-ke-͡ahʼ,ne-zhaʼ,ne-ke-͡ahʼ,ne-zhaʼ,ne-ke-͡ahʼ,nohʼ-neh,nohʼ-neh,ne-neʼ,nohʼ-neh,ne-neʼ,ne-ke-͡ahʼ,ne-zhaʼ,ne-ke-͡ahʼ,ne-zhaʼ,ne-ke-͡ahʼ,meno1252
tama,lakiama,inaate,lakiama,inaate,nina,lakiama,inaate,lakiama,inaate,tama,lakiama,inaate,lakiama,inaate,nina,lakiama,inaate,lakiama,inaate,menu1237
ab,ab,apu,ab,apu,apu,aua,apu,aua,apu,ab,ab,apu,ab,apu,apu,aua,apu,aua,apu,meri1244
baaba,baabamûkûrû,nkoolo,baabamwanake,kaake,ntee,muntuetû,nkoolo,muntuetû,kaake,baaba,baabamûkûrû,mwarewaaba,baabamwanake,mwarewaaba,icia,muntuetû,ciomûkûrû,muntuetû,ciomwanake,meru1245
cìtàˑ,cìbéˑjè',cìdèˑdéˑ',cìbéˑjè',cìdèˑdéˑ',cìmáˑ',cìɣóyé,cíkà',cìɣóyé,cíkà',cìtàˑ,cìbéˑjè',cìdèˑdéˑ',cìbéˑjè',cìdèˑdéˑ',cìmáˑ',cìɣóyé,cíkà',cìɣóyé,cíkà',mesc1238
noss,nǒss,nak-yeʼ-hä,nǒss,nak-yeʼ-hä,nǎ-ke-͡aʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,noss,nǒss,nak-yeʼ-hä,nǒss,nak-yeʼ-hä,nǎ-ke-͡aʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,nǎ-zhe-sǎʼ,nǎ-ke-͡ǎʼ,mesk1242
akeina,akeina,amaina,akeina,amaina,amaina,adeina,amaina,adeina,amaina,akeina,akeina,amaina,akeina,amaina,amaina,adeina,amaina,adeina,amaina,meya1236
no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,no-säʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,no-säʼ,n'-saʼ-gwe-sǎʼ,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,ne-zheseʼ-sä,nin̤-ge-ahʼ,miam1252
fader,eme,moddri,eme,moddri,móder,eme,moddri,eme,moddri,fader,eme,moddri,eme,moddri,móder,eme,moddri,eme,moddri,midd1317
vater,veter,base,veter,base,muoter,œ-heim,muome,œ-heim,muome,vater,veter,base,veter,base,muoter,œ-heim,muome,œ-heim,muome,midd1343
nǔch,n'-tus,n'-su-gwisʼ,n'-tus,n'-su-gwisʼ,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,nǔch,n'-tus,n'-su-gwisʼ,n'-tus,n'-su-gwisʼ,nee-cristʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,n'-ku-lǎ-mǔkʼ-sis,nu-lisʼ,mikm1235
tamaná,mátuaná,vivianá,mátuaná,vivianá,'na,mátuaná,vivianá,mátuaná,vivianá,tamaná,mátuaná,vivianá,mátuaná,vivianá,'na,mátuaná,vivianá,mátuaná,vivianá,mini1251
le-taʔa,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,le-taʔa,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,l-ateʔe,ne-teesḳoʔ,l-asooro,ne-teesḳoʔ,l-asooro,moco1246
pateras,theios,theia,theios,theia,mitera,theios,theia,theios,theia,pateras,theios,theia,theios,theia,mitera,theios,theia,theios,theia,mode1248
ngoangowea,èmama,òa,èmama,òa,jaieha,èmama,òa,èmama,òa,ngoangowea,èmama,òa,èmama,òa,jaieha,èmama,òa,èmama,òa,modo1249
lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä,ah-ga-neseʼ-hä,lä-ga-noleʼ-hä,lä-ga-neʼ-hä,lä-ga-noleʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä,ah-ga-neseʼ-hä,lä-ga-noleʼ-hä,lä-ga-neʼ-hä,lä-ga-noleʼ-hä,lä-ga-neʼ-hä,moha1258
nohˑ,nä-jäʼ-kuʼ,no-muthsʼ,nä-jäʼ-kuʼ,no-muthsʼ,neeʼ-goos,nee-zeethʼ,n'-gukʼ,nee-zeethʼ,n'-gukʼ,nohˑ,nä-jäʼ-kuʼ,no-muthsʼ,nä-jäʼ-kuʼ,no-muthsʼ,neeʼ-goos,nee-zeethʼ,n'-gukʼ,nee-zeethʼ,n'-gukʼ,mohe1244
sango,tatℇ,iyℇ,tatℇ,iyℇ,nyángo,mólalo,iyℇ,mólalo,iyℇ,sango,tatℇ,iyℇ,tatℇ,iyℇ,nyángo,mólalo,iyℇ,mólalo,iyℇ,mokp1239
aːw̜,awɢax,awɢegt͡ʃʰ,awɢax,awɢegt͡ʃʰ,eːt͡ʃ,nagəcax,nagəcegt͡ʃʰ,nagəcax,nagəcegt͡ʃʰ,aːw̜,awɢax,awɢegt͡ʃʰ,awɢax,awɢegt͡ʃʰ,eːt͡ʃ,nagəcax,nagəcegt͡ʃʰ,nagəcax,nagəcegt͡ʃʰ,mong1331
ise,ise,isomoto,tat'inkune,isomoto,ngoya,nyangompame,nyango,nyangompame,mam'inkune,ise,ise,isomoto,tat'inkune,isomoto,ngoya,nyangompame,nyango,nyangompame,mam'inkune,mong1338
nau,nawa,pawwa,nawa,pawwa,vi^e,pu',vi^e,pu',vi^e,nau,nawa,pawwa,nawa,pawwa,vi^e,pu',vi^e,pu',vi^e,mono1275
ama,maama,naine,maama,naine,ine,maama,naine,maama,naine,ama,maama,naine,maama,naine,ine,maama,naine,maama,naine,mori1268
uma,lakiama,lakine,lakiama,lakine,ine,lakiama,lakine,lakiama,lakine,uma,lakiama,lakine,lakiama,lakine,ine,lakiama,lakine,lakiama,lakine,mori1269
tama,topisa,topisa,topisa,topisa,tina,topisa,topisa,topisa,topisa,tama,topisa,topisa,topisa,topisa,tina,topisa,topisa,topisa,topisa,moro1287
saam,tattalinsaam,tattaliniin,tattalinsaam,tattaliniin,iin,tattalinsaam,tattaliniin,tattalinsaam,tattaliniin,saam,tattalinsaam,tattaliniin,tattalinsaam,tattaliniin,iin,tattalinsaam,tattaliniin,tattalinsaam,tattaliniin,mort1237
tata,ata,yaya,ata,yaya,nonoʔ,kyu'ye,c̷e'dʸe,kyu'ye,c̷e'dʸe,tata,ata,yaya,ata,yaya,nonoʔ,kyu'ye,c̷e'dʸe,kyu'ye,c̷e'dʸe,mose1249
tamak,mama,vevegae,mama,vevegae,veve,maraui,veve,maraui,veve,tamak,mama,vevegae,mama,vevegae,veve,maraui,veve,maraui,veve,mota1237
itmek,itmek,titamas,itmek,titamas,ivēk,itat,ivēk,itat,ivēk,itmek,itmek,titamas,itmek,titamas,ivēk,itat,ivēk,itat,ivēk,motl1237
tamagu,tamagu,lalagu,tamagu,lalagu,sinagu,vavagu,sina,vavagu,sina,tamagu,tamagu,lalagu,tamagu,lalagu,sinagu,vavagu,sina,vavagu,sina,motu1246
paʔa,yayaʔa,aiku,yayaʔa,aiku,maʔa,yayaʔa,aiku,yayaʔa,aiku,paʔa,yayaʔa,aiku,yayaʔa,aiku,maʔa,yayaʔa,aiku,yayaʔa,aiku,movi1243
taar,târ,mwanat'okar,târ,mwanat'okar,maam,ngwâs,mâm,ngwâs,mâm,taar,târ,mwanat'okar,târ,mwanat'okar,maam,ngwâs,mâm,ngwâs,mâm,mpuo1241
tama-na,tama-na,kanatoto,tama-na,kanatoto,titina-na,vahapa-na,vahapa-na,vahapa-na,vahapa-na,tama-na,tama-na,kanatoto,tama-na,kanatoto,titina-na,vahapa-na,vahapa-na,vahapa-na,vahapa-na,mudu1242
ama,fokomau,fokoinau,fokomau,fokoinau,ina,fokomau,fokoinau,fokomau,fokoinau,ama,fokomau,fokoinau,fokomau,fokoinau,ina,fokomau,fokoinau,fokomau,fokoinau,muna1247
bàba,bamvuka̤d,mân̊na,bambo̠d,mân̊na,nǎ,nimbàn̊,nǎn̊guka̪d,nimbàn̊,nǎmbo̠d,bàba,bamvuka̤d,mân̊na,bambo̠d,mân̊na,nǎ,nimbàn̊,nǎn̊guka̪d,nimbàn̊,nǎmbo̠d,mung1266
na-noʼ-uh,na-noʼ-whus,na-ma-laʼ-däkue,na-noʼ-whus,na-ma-laʼ-däkue,n'-gäʼ-hase,nee-zheseʼ,nin̤-gukʼ-us,nee-zheseʼ,nin̤-gukʼ-us,na-noʼ-uh,na-noʼ-whus,na-ma-laʼ-däkue,na-noʼ-whus,na-ma-laʼ-däkue,n'-gäʼ-hase,nee-zheseʼ,nin̤-gukʼ-us,nee-zheseʼ,nin̤-gukʼ-us,muns1251
jile,jile,pipi,jile,pipi,kale,kaka,kale,kaka,kale,jile,jile,pipi,jile,pipi,kale,kaka,kale,kaka,kale,murr1258
pathany,karrampany,mukimuki,karrampany,mukimuki,mangany,kathi,puthama,karrurany,puthama,pathany,karrampany,mukimuki,karrampany,mukimuki,mangany,kathi,puthama,karrurany,puthama,muru1266
tama-,tama-,anongo-,tama-,anongo-,kina-,aloa-,kina-,aloa-,kina-,tama-,tama-,anongo-,tama-,anongo-,kina-,aloa-,kina-,aloa-,kina-,muss1246
rèrè,rèrè,tatanyanto,rèrè,tatanyanto,ngwè,mbalo,ngwè,mbalo,ngwè,rèrè,rer'onèrózaḿi,tatanyanto,rer'erumbezaḿi,tatanyanto,ngwè,ngw'onèrózaḿi,ngwè,ngw'erumbezaḿi,ngwè,myen1241
ame,ame,mame,ame,mame,ine,ta'u,ine,ta'u,ine,ame,ame,mame,ame,mame,ine,ta'u,ine,ta'u,ine,nage1237
tama-,tama-uru,hala-,tama-bisi,hala-,tila,hala-,tilauru,hala-,tilabisi,tama-,tama-uru,hala-,tama-bisi,hala-,tila,hala-,tilauru,hala-,tilabisi,naka1262
afè,taghar,taghar,afètosè,amètose,amè,bafè,taghar,bafè,amè,afè,taghar,taghar,afètosè,amètosè,amè,bafè,taghar,bafè,bafalè,nama1266
taman,taman,miim,taman,miim,anuh,lolo,anuh,lolo,anuh,taman,taman,miim,taman,miim,anuh,lolo,anuh,lolo,anuh,nama1268
deve,tasor,tasor,devetoge,mwidädém,ama,bava,bavali,bava,bavali,deve,tasor,tasor,devetoge,mwidädém,ama,bava,bavali,bava,bavali,namb1293
pwei,melibu,plai,melibu,plai,ite,melibu,plai,melibu,plai,yei,melibu,plai,melibu,plai,ite,melibu,plai,melibu,plai,nang1262
shizhb'k,abízhí,abízhí,abízhí,abízhí,shimá,adá'i,amáyázhi,adá'i,amáyázhi,shizhb'k,abízhí,abízhí,abízhí,abízhí,shimá,adá'i,amáyázhi,adá'i,amáyázhi,nava1243
nisʸa,tidʸa,nʸabako,tidʸa,nʸabako,nʸebʸa,tidʸa,nʸeya,tidʸa,nʸeya,nisʸa,tidʸa,nʸabako,tidʸa,nʸabako,nʸebʸa,tidʸa,nʸeya,tidʸa,nʸeya,nene1249
caca,caca,cekin,caca,cekin,hmaien,caca,hmaien,caca,hmaien,caca,caca,cekin,caca,cekin,hmaien,caca,hmaien,caca,hmaien,neng1238
dede,seser,seser,dede,mitadma,ama,baba,amakitong,baba,amatoge,dede,seser,seser,dede,mitadma,ama,baba,amakitong,baba,amatoge,nenn1238
dede,seser,seser,dede,mitadma,ama,baba,amakitong,baba,amatoge,dede,seser,seser,dede,mitadma,ama,baba,amakitong,baba,amatoge,nenn1238a
bābu,barābābū,phupu,kākā,phupu,āmā,māmā,barīāmā,māmā,chēmā,bābu,barābābū,phupu,kākā,phupu,āmā,māmā,barīāmā,māmā,chēmā,nepa1254
apak,akka,attak,akka,attak,amaama,angak,arnarvik,angak,arnarvik,apak,akka,angayuk,akka,attak,amaama,angak,arnarvik,angak,arnarvik,nets1241
mama,mamapurlkanya,kurntili,mama,kurntili,ngunytyu,kamuru,ngunytyu,kamuru,ngunytyu,mama,mamapurlkanya,kurntili,mama,kurntili,ngunytyu,kamuru,ngunytyu,kamuru,ngunytyu,ngaa1240
bulu,bulu,coŋok,bulu,coŋok,naʔ,nabacan,mulaʔ,nabacan,naʔ,bulu,bulu,coŋok,bulu,coŋok,naʔ,nabacan,mulaʔ,kaɖak,naʔ,ngal1292
ngapiri,ngapiri,papa,ngapiri,papa,ngandi,kaka,ngandi,kaka,ngandi,ngapiri,ngapiri,papa,ngapiri,papa,ngandi,kaka,ngandi,kaka,ngandi,ngam1265
ngatyi,ngatyi,mukurl,ngatyi,mukurl,ngamarnti,kaka,ngamarnti,kaka,ngamarnti,ngatyi,ngatyi,mukurl,ngatyi,mukurl,ngamarnti,kaka,ngamarnti,kaka,ngamarnti,ngar1235
mama,mama,mimi,mama,mimi,tétè,aloa,tétè,aloa,tétè,mama,mama,mimi,mama,mimi,tétè,aloa,tétè,aloa,tétè,ngun1274
popa-ye,popa-ye,yaa-ye,popa-ye,yaa-ye,naa-ye,šoa-ye,naa-ye,šoa-ye,naa-ye,popa-ye,popa-ye,yaa-ye,popa-ye,yaa-ye,naa-ye,šoa-ye,naa-ye,šoa-ye,naa-ye,nina1238
tamai,tamai,fa'ee,tamai,fa'ee,fa'ee,fa'eetangata,mehikitanga,fa'eetangata,mehikitanga,tamai,tamai,mehikitanga,tamai,mehikitanga,fa'ee,ta'eetangata,fa'ee,ta'eetangata,fa'ee,niua1240
matuatane,matuatane,matuafifine,matuatane,matuafifine,matuafifine,matuatane,matuafifine,matuatane,matuafifine,matuatane,matuatane,matuafifine,matuatane,matuafifine,matuafifine,matuatane,matuafifine,matuatane,matuafifine,niue1239
ata,akay,abay,akay,abay,ana,nagašakay,äptеy,nagašakay,äptеy,ata,akay,abay,akay,abay,ana,nagašakay,äptеy,nagašakay,äptеy,noga1249
iná'a,hai',pa'wá,hai',pa'wá,pīa,ātsi'i,pirú'u,ātsi'i,pirú'u,iná'a,hai',pa'wá,hai',pa'wá,pīa,ātsi'i,pirú'u,ātsi'i,pirú'u,nort1551
bab,mam,metî,mam,metî,day,xal,xolat,xal,xolat,bab,mam,metî,mam,metî,day,xal,xolat,xal,xolat,nort2641
dao,pēpī,ātī,pēpī,ātī,dai,pēpī,pērī,pēpī,pērī,dao,pēpī,ātī,pēpī,ātī,dai,pēpī,pērī,pēpī,pērī,nort2702
teta,teta,raheng,teta,raheng,ina,mesong,ina,mesong,ina,teta,teta,raheng,teta,raheng,ina,mesong,ina,mesong,ina,nort2839
abá,setąa,senǫǫ,setąa,senǫǫ,amá,seʔe,sebée,seʔe,sebée,abá,setąa,senǫǫ,setąa,senǫǫ,amá,seʔe,sebée,seʔe,sebée,nort2942
apa,angaluk,atcak,angaluk,atcak,aaka,angaluk,atcak,angaluk,atcak,apa,angaluk,atcak,angaluk,atcak,aaka,angaluk,atcak,angaluk,atcak,nort2944
kuli,kumi,kati,kumi,kati,konti,toiti,de,toiti,de,kuli,kumi,kati,kumi,kati,konti,toiti,de,toiti,de,nort2951
bekûm,kusem,katim,kusem,katim,nen,bononum,bebem,bononum,bebem,bekûm,kusem,katim,kusem,katim,nen,bononum,bebem,bononum,bebem,nort2952
nidada,nomoshomis,nisekoos,nomoshomis,nisekoos,nimama,nihishes,n'doses,nihishes,n'doses,nidada,nomoshomis,nisekoos,nomoshomis,nisekoos,nimama,nihishes,n'doses,nihishes,n'doses,nort2961
ame'e,adje,awu,adje,awu,ate,atsu,asu,atsu,ace,ame'e,adje,awu,adje,awu,ate,atsu,asu,atsu,ace,nort2966
zeze,zrõã,a'pipi,zrõã,a'pipi,papa,zrõã,a'pipi,zrõã,a'pipi,zeze,zrõã,a'pipi,zrõã,a'pipi,papa,zrõã,a'pipi,zrõã,a'pipi,nort2972
far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante,far,onkel,tante,onkel,tante,mor,onkel,tante,onkel,tante,norw1259
hayr,horełbayr,horak'uyr,horełbayr,horak'uyr,mayr,mōrelbayr,morak'uyr,mōrelbayr,morak'uyr,hayr,horełbayr,horak'uyr,horełbayr,horak'uyr,mayr,mōrelbayr,morak'uyr,mōrelbayr,morak'uyr,nucl1235
baba,amca,hala,amca,hala,anne,dayı,teyze,dayı,teyze,baba,amca,hala,amca,hala,anne,dayı,teyze,dayı,teyze,nucl1301
nǎnnǎtǎnde,nǎnnǎdoddǎppǎ,nǎnnǎǎtte,nǎnnǎchikkǎppǎ,nǎnnǎǎtte,nǎnnǎtäi,nǎnnǎmäva,nǎnnǎdoddǎmmǎ,nǎnnǎmäva,nǎnnǎchickkǎmmǎ,nǎnnǎtǎnde,nǎnnǎdoddǎppǎ,nǎnnǎǎtte,nǎnnǎchikkǎppǎ,nǎnnǎǎtte,nǎnnǎtäi,nǎnnǎmäva,nǎnnǎdoddǎmmǎ,nǎnnǎmäva,nǎnnǎchickkǎmmǎ,nucl1305
aphei,pharji,jiji,ulei,dolei,amei,pharji,jiji,ulei,dolei,aphei,pharji,jiji,ulei,dolei,amei,pharji,jiji,ulei,dolei,nucl1310
eppa',obe',obe',majedi',majedi',embu,obe',obe',majedi',majedi',eppa',obe',obe',majedi',majedi',embu,obe',obe',majedi',majedi',nucl1460
tamai,tamai,silei,tamai,silei,silei,manenepai,silei,manenepai,silei,tamai,tamai,silei,tamai,silei,silei,manenepai,silei,manenepai,silei,nucl1479
ehway,ehway,ehwyak,ehway,ehwyak,wah,wahok,wah,wahok,wah,ehway,ehway,ehwyak,ehway,ehwyak,wah,wahok,wah,wahok,wah,nucl1622
chichi,oji,oba,oji,oba,haha,oji,oba,oji,oba,chichi,oji,oba,oji,oba,haha,oji,oba,oji,oba,nucl1643
noʼ-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,noʼ-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,nucl1653
tama,tama,wawe,mamakae,wawe,tina,wowa,tina,wowa,awakae,tama,tama,wawe,mamakae,wawe,tina,wowa,tina,wowa,awakae,numb1247
mama,mama,mitari,mama,mitari,ngati,kana,ngati,kana,ngati,mama,mama,mitari,mama,mitari,ngati,kana,ngati,kana,ngati,nyam1271
mama,tyapartu,marruku,tyapartu,marruku,pipi,kaka,pipi,kaka,pipi,mama,tyapartu,marruku,tyapartu,marruku,pipi,kaka,pipi,kaka,pipi,nyan1301
ise,isento,isenkati,isento,isenkati,mama,ongundwe,nyinento,ongundwe,nyinento,ise,isento,isenkati,isento,isenkati,mama,ongundwe,nyinento,ongundwe,nyinento,nyor1246
iibal,kakar,irrmurr,kakar,irrmurr,birray,kakar,yirrmur,kakar,yirrmur,iibal,kakar,irrmurr,kakar,irrmurr,birray,kakar,yirrmur,kakar,yirrmur,nyul1247
noss,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,noss,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ojib1241
fæder,fædera,faθu,fædera,faθu,mōdor,ēam,mōdrige,ēam,mōdrige,fæder,fædera,faθu,fædera,faθu,mōdor,ēam,mōdrige,ēam,mōdrige,olde1238
athair,brāthirathar,siurathar,brāthirathar,siurathar,máthair,brāthirmāthar,siurmāthar,brāthirmāthar,siurmāthar,athair,brāthirathar,siurathar,brāthirathar,siurathar,máthair,brāthirmāthar,siurmāthar,brāthirmāthar,siurmāthar,oldi1245
faðir,foður-brōðir,foður-systir,foður-brōðir,foður-systir,mōðir,mōður-brōðir,mōðir-systir,mōður-brōðir,mōðir-systir,faðir,foður-brōðir,foður-systir,foður-brōðir,foður-systir,mōðir,mōður-brōðir,mōðir-systir,mōður-brōðir,mōðir-systir,oldn1244
in-däʼ-de,in-däʼ-de,wee-teeʼ-me,in-däʼ-de,wee-teeʼ-me,eʼ-näʼ-ha,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,in-däʼ-de,in-däʼ-de,wee-teeʼ-me,in-däʼ-de,wee-teeʼ-me,eʼ-näʼ-ha,wee-näʼ-gee,e-näʼ-hä,wee-näʼ-gee,e-näʼ-hä,omah1247
ʔàynn,poʔtˀ,ḳˀàn,poʔtˀ,ḳˀàn,ahm,čèʔ,poʔn,čèʔ,poʔn,ʔàynn,poʔtˀ,ḳˀàn,poʔtˀ,ḳˀàn,ahm,čèʔ,poʔn,čèʔ,poʔn,onaa1245
läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läʼ-ga-nih,läʼ-ga-nih,ahk-noleʼ-hä,läʼ-ga-nih,ahk-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,läg-noleʼ-hä,ahk-noleʼ-hä,onei1249
kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,kuh-ne-häʼ,kuh-ne-häʼ,ah-ge-noʼ-hä,kuh-ne-häʼ,ah-ge-noʼ-hä,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,ge-noʼ-sä-ha,ah-ge-noʼ-hä,onon1246
kamangaa,kamangaa,kinga,kamangaa,kinga,kinga,lamoku,kinga,lamoku,kinga,kamangaa,kamangaa,kinga,kamangaa,kinga,kinga,lamoku,kinga,lamoku,kinga,onto1237
mar,cumuguat,soroguat,teviriguat,vavoguat,dë,cutziguat,tepoguat,aiguat,deriguat,massiguat,cumuguat,soroguat,teviriguat,vavoguat,dë,cutziguat,tepoguat,taiguat,deriguat,opat1246
bappa,barpo,piusi,kakka,piusi,mā,mamo,mausi,māĩ,mausi,bappa,barpo,piusi,kakka,piusi,mā,mamo,mausi,māĩ,mausi,oriy1255
in-täʼ-che,in-täʼ-che,we-jeʼ-me,in-täʼ-che,we-jeʼ-me,in-nahʼ,we-jaʼ-ga,inʼ-uaw,we-jaʼ-ga,inʼ-uaw,in-täʼ-che,in-täʼ-che,we-jeʼ-me,in-täʼ-che,we-jeʼ-me,in-nahʼ,we-jaʼ-ga,inʼ-uaw,we-jaʼ-ga,inʼ-uaw,osag1243
fyd,fydyfcymvær,fydykho,fydyfcymvær,fydykho,mad,madyfsymær,madykho,madyfsymær,madykho,fyd,fydyfcymvær,fydykho,fydyfcymvær,fydykho,mad,madyfsymær,madykho,madyfsymær,madykho,osse1243
hinʼ-kä,hinʼ-kä,e-tǔʼ-me,hinʼ-kä,e-tǔʼ-me,heʼ-nah,hin-chaʼ-kä,heʼ-nah,hin-chaʼ-kä,heʼ-nah,hinʼ-kä,hinʼ-kä,e-tǔʼ-me,hinʼ-kä,e-tǔʼ-me,heʼ-nah,hin-chaʼ-kä,heʼ-nah,hin-chaʼ-kä,heʼ-nah,otoo1241
noss,ne-misʼ-sho-mǎ,nis-sa-goseʼ,ne-misʼ-sho-mǎ,nis-sa-goseʼ,n'-gusʼ-sheh,ne-zhish-shǎ,no-shǎʼ,ne-zhish-shǎ,no-shǎʼ,noss,ne-misʼ-sho-mǎ,nis-sa-goseʼ,ne-misʼ-sho-mǎ,nis-sa-goseʼ,n'-gusʼ-sheh,ne-zhish-shǎ,no-shǎʼ,ne-zhish-shǎ,no-shǎʼ,otta1242
emana,emana,enana,emana,enana,enana,epuna,enana,epuna,enana,emana,emana,enana,emana,enana,enana,epuna,enana,epuna,enana,owaa1237
uma,maama,naine,maama,naine,ine,maama,naine,maama,naine,uma,maama,naine,maama,naine,ine,maama,naine,maama,naine,pado1242
tata,yũũkwe,pee-c̷uhc̷,yũũkwe,pee-c̷uhc̷,mama,kahka,pee-yũkwe,kahka,pee-yũkwe,tata,yũũkwe,pee-c̷uhc̷,yũũkwe,pee-c̷uhc̷,mama,kahka,pee-yũkwe,kahka,pee-yũkwe,paez1247
aja,opepa,oa,opepa,oa,aila,opepa,oa,opepa,oa,aja,opepa,oa,opepa,oa,aila,opepa,oa,opepa,oa,pagu1249
caa,caa,pankaa,caa,pankaa,nyââ,aunîa,nyââ,aunîa,nyââ,caa,caa,pankaa,caa,pankaa,nyââ,aunîa,nyââ,aunîa,nyââ,paic1239
kama,kama,kina,kama,kina,kina,kama,kina,kama,kina,kama,kama,kina,kama,kina,kina,kama,kina,kama,kina,paiw1248
appa,periyappa,mami,chittappa,mami,amma,mama,periyamma,mama,chittamma,appa,periyappa,mami,chittappa,mami,amma,mama,periyamma,mama,chittamma,pali1274
tatá,bápa,dára,bápa,dára,indá,bápa,dára,bápa,dára,tatá,bápa,dára,bápa,dára,indá,bápa,dára,bápa,dára,pamp1243
appü,tsukuna,pahwa,tsukuna,pahwa,pia,piasamoppu,tokkwapu,piasamoppu,tokkwapu,appü,tsukuna,pahwa,tsukuna,pahwa,pia,piasamoppu,tokkwapu,piasamoppu,tokkwapu,pana1305
ama,pangamaen,panginaen,pangamaen,panginaen,ina,pangamaen,panginaen,pangamaen,panginaen,ama,pangamaen,panginaen,pangamaen,panginaen,ina,pangamaen,panginaen,pangamaen,panginaen,pang1290
abbaajaan,taaiaa,phuphī,cācā,phuphī,mā,māmā,khaalaa,māmā,khaalaa,abbaajaan,taaiaa,phuphī,cācā,phuphī,mā,māmā,khaalaa,māmā,khaalaa,panj1256
tuva,cher-ur-yke'y,cher-ur-eindy,cher-ur-yvy,cher-ur-eindy,sɨ,chesykyvy,chesyr-yke,chesykyvy,chesykypy'y,tuva,cher-ur-yke'y,cher-ur-eindy,cher-ur-yvy,cher-ur-eindy,sɨ,chesykyvy,chesyr-yke,chesykyvy,chesykypy'y,para1311
plar,kaka,mɑmi,kaka,mɑmi,mor,mama,mɑmi,mama,mɑmi,plar,kaka,mɑmi,kaka,mɑmi,mor,mama,mɑmi,mama,mɑmi,pash1269
mama,mamatoewa,gowa,mamatoewa,gowa,nene,mamatoewa,gowa,mamatoewa,gowa,mama,mamatoewa,gowa,mamatoewa,gowa,nene,mamatoewa,gowa,mamatoewa,gowa,pata1260
