feB,feZ,fyB,fyZ,meB,meZ,myB,myZ,Glottocode
khane,hakini,khane,hakini,kheni,khane,kheni,khane,duna1248
abeng,abeng,wadi,wadi,abeng,abeng,wadi,wadi,dupa1235
broer,zus,broer,zus,broer,zus,broer,zus,dutc1256
buyun,djadji,buyun,gandan,buyun,djadji,buyun,gandan,duun1241
bayimugirray,balanyayin,bayiyabuju,balanjaman,bayimugirray,balanyayin,bayiyabuju,balanjaman,dyir1250
pu?,na?,bungpa,tsâ,pu?,na?,bungpa,tsâ,dzon1239
dájyu,bahini,bhāi,bahinī,dájyu,bahini,bhāi,bahinī,east1436
yeɣbayr,kʰuyr,kˀrtˀseryeɣbayr,kˀrtˀserkʰuyr,yeɣbayr,kʰuyr,kˀrtˀseryeɣbayr,kˀrtˀserkʰuyr,east2283
bruder,švester,yingererbruder,yingerešvester,bruder,švester,yingererbruder,yingerešvester,east2295
iza,shӱzhar,shol'o,aka,iza,shӱzhar,shol'o,aka,east2328
haqe-,tue-,haqe-,tue-,tue-,haqe-,tue-,haqe-,east2443
tua-nga'ane,taina,tua-nga'ane,taina,taina,tua-nga'ane,taina,tua-nga'ane,east2447
mbali,aaki,mbali,aaki,ame,mbali,ame,mbali,east2516
che-rɨkéɨ,che-rɨ́ke,t-ɨwɨ,pɨkɨ,che-rɨkéɨ,che-rɨ́ke,t-ɨwɨ,pɨkɨ,east2555
mei-gi,šutu:me,mei-gi,šutu:me,mei-gi,šutu:me,mei-gi,šutu:me,elam1244
tay,ngoreng,tay,ngoreng,tay,ngoreng,tay,ngoreng,emau1237
maŋ,mosɛn,maŋ,mənjan,mosɛn,mən,mənjan,mən,ende1235
ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pematʰẽe-'pema,ɨ̃pe'wẽratʰẽe-'pema,ɨ̃'pema,ɨ̃pe'wẽra,ɨ̃'pematʰẽe-'pema,ɨ̃pe'wẽratʰẽe-'pema,epen1239
anya,aaki,anya,aaki,ame,anya,ame,anya,erav1244
lʸelʸa,patʸa,yalaks,sazor̃,lʸelʸa,patʸa,yalaks,sazor̃,erzy1239
bácwa,kócwa,bonwa,bínwa,bácwa,kócwa,bonwa,bínwa,eude1234
ntôl,ñkîa,nzimé,ñgozam,ntôl,ñkîa,nzimé,ñgozam,fang1246
ndega,ndega,mémá,ntsúàünzúú,ndega,ndega,mémá,ntsúàünzúú,fefe1239
ganequ,tuakaqu,ganequ,taciqu,tuakaqu,genequ,taciqu,genequ,fiji1243
veli,sisko,veli,sisko,veli,sisko,veli,sisko,finn1318
unnsiice,unniina,unnsiice,unniina,unniina,unnsiice,unniina,unnsiice,fipa1238
mane-,tasi-,tasi-,tasi-,toa-,mane-,tasi-,vavine-,fort1240
broer,sus,broerke,suske,broer,sus,broerke,suske,fris1239
kave,so,kave,so,so,kave,so,kave,futu1245
kolak,kolak,kolak,kolak,kolak,kolak,kolak,kolak,gada1258
hira,rirǐja,hira,nongoroe,rirǐja,bira,nongoroe,bira,gale1259
yayá,payrï,tiom,pitï,irï,wawá,pirï,xonen,gali1262
t̪aya,pakaːn,kalumaːy,bagaan,t̪aya,pakaːn,kalumaːy,bagaan,gami1243
mwanyinaomukulu,mugandaomukulu,mwanyina,muganda,mugandaomukulu,mwanyinaomukulu,muganda,mwanyina,gand1255
timnog,maboengoe,timnog,majao,maboengoe,dimomaboengoe,majao,dimomaboengoe,gane1237
waŋkuʈu,jakukaṱu,kunaṱu,kunaṱu,ṱapucu,jakukaṱu,kunaṱu,kunaṱu,gang1267
waŋkutu,yakukat̪u,kunat̪u,kunat̪u,t̪aputyu,yakukat̪u,kunat̪u,palkatyi,gang1267a
dengan,peserinen,dengan,peserinen,peserinen,dengan,peserinen,dengan,gayo1244
hogo,tuga,hogo,tahi,tuga,hogo,tahi,hogo,gela1263
manu-te-karimoä,taru-te-karimoä,taru-te-kärimwi,taru-te-karimwi,täru-te-karimoä,manu-te-karimoä,taru-te-kärimwi,manu-te-karimwi,gilb1244
mukulu,ndugu,muvwaha,ndugu,mukulu,ndugu,muvwaha,ndugu,giry1241
tammur,takká,tammur,selár,tammur,takká,tammur,selár,gond1265
broþar,swistar,broþar,swistar,broþar,swistar,broþar,swistar,goth1244
naʼ-thǎ-hǎ,naʼ-be,taʼ-yä,naʼ-be-ǎ,naʼ-thǎ-hǎ,naʼ-be,taʼ-yä,na-be-ǎ,gros1243
ikuwɨčiá,harəpihárə,ikuwɨčiá,harəpihárə,harəpihárə,haininawai,harəpihárə,haininawai,guaj1256
pulngaarr,kaanhaal,kaarka,tyinkurr,pulngaarr,kaanhaal,kaarka,tyinkurr,gugu1255
yaba,gaanhaal,gaarga,jin-gurr,yaba,gaanhaal,gaarga,jin-gurr,gugu1255a
märobhäi,märibǎhen,märobhäi,mäzhidhäkatebahen,märobhäi,märibǎhen,märobhäi,mäzhidhäkatebahen,guja1252
dyukarrngu,yapa,gutha\',gutha\',dyukarrngu,yapa,gutha\',gutha\',guma1253
kainan,kainan,katanthebar,katanthebar,kainan,kainan,katanthebar,katanthebar,gunt1241
gogok,jabok,cager,ɖaɖːa,gogok,jabok,ɖaɖːa,jabok,gunw1252
thakuny,mayarra,wapurtu,thitha,thakuny,mayarra,wapurtu,thitha,guny1241
dyukarrngu,yapa,yukuyuku,gutha\',dyukarrngu,yapa,yukuyuku,gutha\',gupa1247
ngapa,kawulu,kalaty,karlaty,ngapa,kawulu,kalaty,karlaty,guri1247
sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro,sókóro,maagókóro,gusi1247
soonʼ-da-ga,saʼ-che,saʼ-chǎ,sa-chith,soonʼ-da-ga,saʼ-che,saʼ-chǎ,sa-chith,gwic1235
òō,òō,òō,òō,òō,òō,òō,òō,gwii1239
hogosi,tua,tihi,tua,tua,hogosi,tua,tihi,hano1246
sizing,maring,sizing,maring,maring,sizing,maring,sizing,hano1246a
oɣosi,tua-mʷa,oɣosi,tua-mʷa,tua-mʷa,oɣosi,tua-mʷa,oɣosi,hano1246b
kapatararian,kapatararian,kapatararian,kapatararian,kapatararian,kapatararian,kapatararian,kapatararian,hanu1241
sǔn-noʼ-ga,sa-daʼ-za,sǔn-noʼ-gä-yǎʼ-za,sa-daʼ-za-yǎʼ-za,sǔn-noʼ-ga,sa-daʼ-za,sǔn-noʼ-gä-yǎʼ-za,sa-daʼ-za-yǎʼ-za,hare1243
kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,hawa1245
mukúluwange,mukúluwange,mutówange,mutówange,mukúluwange,mukúluwange,mutówange,mutówange,haya1250
omu-nene,e-rumbi,omu-angu,omu-angu,omu-nene,e-rumbi,omu-angu,omu-angu,here1253
ma-tä-rooʼ,mä-roo,mat-soʼ-gä,mǎ-tä-kaʼ-zhä,mee-ä-käʼ,mat-tä-weʼ-ä,mat-soʼ-gä,mǎ-tä-kaʼ-zhä,hida1246
ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,ii-kni-w,high1278
utod,utod,utod,utod,utod,utod,utod,utod,hili1240
merábarábhái,meríbaríbahin,meráchotábhái,merichotíbahin,merábarábhái,meríbaríbahin,meráchotábhái,merichotíbahin,hind1269
šeš,neka-,šeš,neka-,šeš,neka-,šeš,neka-,hitt1242
tutvak,teik,tutvak,teik,teik,tutvak,teik,tutvak,hiww1237
yeɣpayr,kuyr,grdseryeɣpayr,grdserkuyr,yeɣpayr,kuyr,grdseryeɣpayr,grdserkuyr,homs1234
paava,qööqa,*tïpko,*tïpko,paava,qööqa,*tïpko,*tïpko,hopi1249
pa'čí,ko'cí,poní,piní,pa'čí,ko'cí,poní,piní,huar1255
fivér,nővér,öcz,húg,fivér,nővér,öcz,húg,hung1274
uñutc,at,kil,detc,uñutc,at,kil,detc,hupa1239
agi,agi,agi,agi,agi,agi,agi,agi,ibal1244
menyadi,menyadi,menyadi,menyadi,menyadi,menyadi,menyadi,menyadi,iban1264
wagi,wagi,wagi,wagi,wagi,wagi,wagi,wagi,iban1267
bróðir,systir,bróðir,systir,bróðir,systir,bróðir,systir,icel1247
io',io',ai',ai',io',io',ai',ai',idaa1241
mosən,mosən,mənʤən,mənʤən,mosən,mosən,mənʤən,mənʤən,idii1243
tulang,tulang,tulang,tulang,tulang,tulang,tulang,tulang,ifug1247
-parape,-parape,natimuri,-ati,-parape,-parape,natimuri,-ati,igna1246
nara,ali,nara,ali,ali,nara,ali,nara,iliu1237
kabsat,kabsatababai,kabsat,kabsatababai,kabsat,kabsatababai,kabsat,kabsatababai,ilok1237
nadóri-ara,nádoru-ara,namároqe,namároqo,nadóri-ara,nádoru-ara,namároqe,namároqo,inan1242
kakak,kakak,adik,adik,kakak,kakak,adik,adik,indo1316
ekka,ekka,endi,endi,ekka,ekka,endi,endi,indo1317
velloi,siar,velloi,siar,velloi,siar,velloi,siar,ingr1248
he-yenʼ-nä,heen-tan̤ʼ-ga,e-chunʼ-cha,heen-tun̤ʼ-ga,he-yenʼ-nä,he-yuʼ-nä,heen-thun̤ʼ-ga,heen-tan̤ʼ-ya,iowa1245
talkaka,talkaka,talkaka,talkaka,talkaka,talkaka,talkaka,talkaka,iray1237
dearbrāthair,deirbhshiur,dearbrāthair,deirbhshiur,dearbrāthair,deirbhshiur,dearbrāthair,deirbhshiur,iris1253
kaparsut,kaparsut,kaparsut,kaparsut,kaparsut,kaparsut,kaparsut,kaparsut,isna1241
fratello,sorella,fratello,sorella,fratello,sorella,fratello,sorella,ital1282
ahmi-ʔyasa,ahmi-yasaʔka,ahmi-ʔyasa,ahmi-yasaʔka,ahmi-ʔyasa,ahmi-yasaʔka,ahmi-ʔyasa,ahmi-yasaʔka,iton1250
uc̄i,ruc̄i,nuqʼeuc̄i,nuqʼeruc̄i,uc̄i,ruc̄i,nuqʼeuc̄i,nuqʼeruc̄i,itsa1239
kaaka,kaaka,wari,wari,kaaka,kaaka,wari,wari,ivat1242
brada~brɛda,sɩsta,lɩklbrɛda~lɩklbrada,lɩklsɩsta,brada~brɛda,sɩsta,lɩklbrɛda~lɩklbrada,lɩklsɩsta,jama1262
a´-nee,a´-nih,o-to´-to,e-mo´-to,a´-nee,a´-nih,o-to´-to,e-mo´-to,japa1256
papa,kapulu,ngatya,ngatya,papa,kapulu,ngatya,ngatya,jaru1254
kangmas,mbakyu,adhilanang,adikwadon,kangmas,mbakyu,adhilanang,adikwadon,java1254
сínà'áˑ',сílá',сínà'áˑ',сílá',сínà'áˑ',сílá',сínà'áˑ',сílá',jica1244
phù,naw,naw,naw,phù,naw,naw,naw,jing1260
!ko,!kwi,tsin,tsin,!ko,!kwi,tsin,tsin,juho1239
tukaka,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,kaba1285
